,commentText,commentClassification
55,"Should be a full stop at the end. Also is the text present somewhere like a sheet or something?

‌",add QUESTIONING end
56,"If we follow this color in alternate rows then we are going to have problem while doing select row color '(user we have a confusion').  
  
Please follow something like: [",add CODE_SUGGESTION end
57,Same as above comment '(i.e. Table/**Table.jsx**'),add CODE_SUGGESTION end
58,"we are already doing override in bizom-mui > **Theme > createTheme.js** file.

Did you test there are no issues ? Can’t we keep the same place ?

In future developer will have a confusion and unexpected override of overrides!!!",add BUGGYCODE_SUGGESTION end
59,"@{5a4c7bb014c00229ee9ca4f8} There are concerns I have raised, Please have look on those.",add COMPLETENESS_SUGGESTION end
60,"Can there be extra field for info? Something like the warehouse Id, would help",add LOGICAL_SUGGESTION end
61,"Remove this field `amountToShow`, we are not going to use this

It will create confusion later.",add CODE_SUGGESTION end
62,"@{557058:93f213d9-02d4-4f58-8523-b44cf2fd232c}  We need to change the in `OrderDetails.jsx` file.

‌",add CODE_SUGGESTION end
63,What was the issue with this?,add QUESTIONING end
64,"We need not to query `__typename`, it’s fetched by default",add CODE_SUGGESTION end
65,"check if any usage other place, if not remove.",add COMPLETENESS_SUGGESTION end
66,"Did you try the default marker, i think it used the same image that you are adding in custom marker. Is there some reason for using custom marker other than the image?",add QUESTIONING end
67,@{5a4c7bb014c00229ee9ca4f8} I hope you checked the impact areas and tested.,add COMPLETENESS_SUGGESTION end
68,we must avoid this hardcoding!,add BUGGYCODE_SUGGESTION end
69,"do we need to query this?

‌",add QUESTIONING end
70,"If there is no action on a widget, then also checkbox will be visible?",add QUESTIONING end
71,removed the logs,add REFACTORING_SUGGESTION end
72,can we pick it from theme?,add QUESTIONING end
73,can we pick it from theme?,add QUESTIONING end
74,can we pick it from theme?,add QUESTIONING end
75,"can we create a constant for week & month, then iterate it?",add BUGGYCODE_SUGGESTION end
76,":no_entry_sign:  Build is failing on this PR, please look into it.",add BUGGYCODE_SUGGESTION end
77,So we have to add `// $FlowFixMe` for every style rule!!! Is that any other way to solve it??,add CODE_SUGGESTION end
78,@{5a4c7bb014c00229ee9ca4f8} did you checked this?,add QUESTIONING end
79,"`widgetDrawer` should not be part of Table. It should be part of [Widget.jsx](

That way it’s a property if widget irrespective of any data view.",add CODE_SUGGESTION end
80,@{5a4c7bb014c00229ee9ca4f8} This needs to be looked at,add COMPLETENESS_SUGGESTION end
81,"@{5a4c7bb014c00229ee9ca4f8} As we discussed, we can directly open the widget drawer if any action is available, instead of clicking another button",add CODE_SUGGESTION end
82,"@{5a4c7bb014c00229ee9ca4f8} 

1. Make a proper id,
2. Dialog title should include the action name and widget name '(it’s hardcoded now')

‌",add BUGGYCODE_SUGGESTION end
83,"@{5a4c7bb014c00229ee9ca4f8} There are few incomplete comment, proceed with dev merge,

Please look into those and do it before release merge.",add COMPLETENESS_SUGGESTION end
84,This should an ENUM from backend.,add CODE_SUGGESTION end
85,"you can keep this, and in the dialog add below ids,

CANCEL button - `id=""gtm-button-cancel-order-dismiss""`

CONFIRM button - `id=""gtm-button-cancel-order-confirm""`

‌",add CODE_SUGGESTION end
86,"There won’t be any case where `p.unitsPerCase` = 0?, If so, we need to handle this.",add BUGGYCODE_SUGGESTION end
87,First letter in caps?,add SPELLING_SUGGESTION end
88,"Why we referring “Placed from salesman“ Orders can also be placed by Distributor'(DMD backend') 

‌",add QUESTIONING end
89,"If we keep this modal here every card will contain it’s own modal !!!

@{557058:4e711a49-b8fe-4901-8633-13a0c17ad34c} please follow how offer modal has been developed.",add BUGGYCODE_SUGGESTION end
90,"@{557058:4e711a49-b8fe-4901-8633-13a0c17ad34c} Please check the delete button is this the correct behavior?

![](
‌",add BUGGYCODE_SUGGESTION end
91,Are we using the index?,add QUESTIONING end
92,Why is this required?,add QUESTIONING end
93,"@{5a4c7bb014c00229ee9ca4f8} So, your url already has the dashboard id in it. Why are you saving redundant data?",add QUESTIONING end
94,"As discussed with @{5a4c7bb014c00229ee9ca4f8} , this is for now storing the url as well as the dashboard id. Further contextual changes can be expected. This is alright for the first cut.",add COMPLETENESS_SUGGESTION end
95,"Please don’t keep code commented, If you need keep all the valid cases please keep it, else keep the valid one.",add REFACTORING_SUGGESTION end
96,"Please check below points,

1. Pull the function out of this component '(ref. same as `isNested` function')
2. Didn’t we need else condition here?

‌",add BUGGYCODE_SUGGESTION end
97,"Please define the constant '(i.e. enums') here and use it '(instead of hardcoded strings') so that we know what are the possible values from backend.

```
const NOT_DEFINED = 'NOT_DEFINED';
const ALIGNMENTS = {
  RIGHT: 'right',
  LEFT: 'left',
  NOT_DEFINED: NOT_DEFINED
};

const DATA_TYPE = {
  STRING: 'string',
  NUMBER: 'number',
  NOT_DEFINED: NOT_DEFINED
};
```

‌",add BUGGYCODE_SUGGESTION end
98,Create helper function `getAlignment` with `switch` condition keep a you case clean & use `getAlignment` here instead of nested complex if-else condition.,add CODE_SUGGESTION end
99,"Please check the following points,

1. condition for returning `#fff` not correct. it’s breaking the existing table with alternate color '(in case `bgColor === 'NOT_DEFINED`'). 

    ![](

**Note**: I think we shouldn’t anything in the case of  `NOT_DEFINED` and invalid hash color. @{5a4c7bb014c00229ee9ca4f8} please check on this :point_up: ",add BUGGYCODE_SUGGESTION end
100,"Create helper function `getFontFamily` with `switch` condition keep a you case clean & use `getFontFamily` here instead of nested complex if-else condition.

Also, check this in below screenshot **Ramdev** & **Vedam** shouldn’t be in `monospace`

![](
‌",add CODE_SUGGESTION end
101,"@{5f1ea4d770fb250022a6f5c1} Please look at this code,

```
const getAlignment = (header, value) => {
    if (!!header.alignment && (header.alignment === ALIGNMENTS.RIGHT ||
      header.alignment === ALIGNMENTS.LEFT)) {
        return header.alignment;
    }

    if (!!header.dataType && (header.dataType === DATA_TYPE.NUMBER || typeof value === DATA_TYPE.NUMBER)) {
      return ALIGNMENTS.RIGHT;
    }

    return ALIGNMENTS.LEFT;
  };
```

How do we use `getAlignment` in `EnhancedTableHead` component?

**Ans:** Keep this function outside of `Table` component, As I said in earlier component",add CODE_SUGGESTION end
102,"@{5f1ea4d770fb250022a6f5c1} Please check out this,

```
const getFontFamily = header => {
    if (header.dataType === DATA_TYPE.NUMBER) {
      return FONT_FAMILY.MONOSPACE;
    }

    return FONT_FAMILY.SANS_SERIF;
  };
```

‌",add BUGGYCODE_SUGGESTION end
103,"@{557058:4e711a49-b8fe-4901-8633-13a0c17ad34c}   

* Please check the reorder functionality
* Now, we are disabling case, when unitPerCase is 1 - **We need to remove this logic from product page**.

‌",add BUGGYCODE_SUGGESTION end
104,At product cart summary page. We filter out the products bases on active status. We need to add this check there also,add CODE_SUGGESTION end
105,@{557058:93f213d9-02d4-4f58-8523-b44cf2fd232c}  Please specify the tickets?,add LOGISTICS_SUGGESTION end
106,@{5a4c7bb014c00229ee9ca4f8} Please specify the tickets?,add LOGISTICS_SUGGESTION end
107,what are the action types? can’t we keep it constants/enums?,add BUGGYCODE_SUGGESTION end
108,"We will put this out in the release note, right?",add QUESTIONING end
109,why can’t we name it just **Population**,add QUESTIONING end
110,"@{5a4c7bb014c00229ee9ca4f8} What is exactly?  
  
By looking at POP i don’t understand what it is!",add QUESTIONING end
111,"@{557058:4e711a49-b8fe-4901-8633-13a0c17ad34c} there are conflicts, please resolve",add LOGISTICS_SUGGESTION end
112,remove this,add REFACTORING_SUGGESTION end
113,remove line,add REFACTORING_SUGGESTION end
114,Never do this,add BUGGYCODE_SUGGESTION end
115,"Can’t we use `ANY_OTHER_COMMENTS` , which is already there",add CODE_SUGGESTION end
116,"There is one `UPLOAD_IMAGES` and `UPLOAD_IMAGE` , which one we need? Please use one.",add CODE_SUGGESTION end
117,"@{5f1ea4d770fb250022a6f5c1} If there is any similar strings present, please try to use if possible.

It will reduce translations in different locale",add REUSE_SUGGESTION end
118,Why hardcoded string is in `<img>` src ?,add BUGGYCODE_SUGGESTION end
119,"Can’t we solve like this,  
  
`padding: spacing(1, 2),`",add CODE_SUGGESTION end
120,`marginBottom: spacing(1)`,add CODE_SUGGESTION end
121,`marginTop: spacing(2)`,add CODE_SUGGESTION end
122,"`fetchPolicy: 'cache-and-network',`",add CODE_SUGGESTION end
123,`__typename` - Do we need it ?,add CODE_SUGGESTION end
124,"We are using this function only once. So why can’t we keep it in 

```
saveReturnRequest({
  variables: {
    ...
  },
});
```

‌",add QUESTIONING end
125,It’s not a correct way of naming component!,add BUGGYCODE_SUGGESTION end
126,Please name this component & File as `SearchProducts.jsx`,add SPELLING_SUGGESTION end
127,":no_entry_sign: :no_entry_sign: :no_entry_sign: :no_entry_sign: :no_entry_sign: :no_entry_sign: 

@{5f1ea4d770fb250022a6f5c1} As I explained you, you need to follow the way we are handling `loyaltyEnabled` settings in `Loyalty` feature. Please consider following scenario,

* `saleReturnEnabled` is a company wise settings. That means, in case of multi-brand '(i.e. multi company') context each brand will have it’s own settings. Now for _Brand#1_ `saleReturnEnabled` is disabled but for _Brand#2_ `saleReturnEnabled` is enabled.

As per your implementation, if we block at drawer menu then how user will access product return in _Brand#2._

So, please follow how we are handling `Loyalty` with company settings.",add BUGGYCODE_SUGGESTION end
128,"`export const RETURNS = <Trans>Returns</Trans>;`

:red_circle: **Note:** _Without any major reason text and variable should not be different, it will create confusion by looking at component and actual text on the page_",add CODE_SUGGESTION end
129,"`export const UPLOAD_IMAGES = <Trans>Upload images</Trans>;`

:red_circle: **Note:** _Please follow below sentence conventions,_

* `Upload images`
* `Return successful`
* `Place product return request`
* `Product return successful`

‌",add CODE_SUGGESTION end
130,"`export const SHOPPING_CART = <Trans>Shopping cart</Trans>;`

:red_circle: **Note:** _Mostly similar comments in bellow lines as well, please review below lines_",add CODE_SUGGESTION end
131,"Please remove exclamation mark here, it’s unnecessary!",add BUGGYCODE_SUGGESTION end
132,"Why we need put `<br />` in between screen ?!?!

:red_circle: **Note:** _First of all, There should not be html tag in between string translation. Also, why we need to forcefully break the sentence into second line, let it adjust based on screen size '(i.e. width')_",add CODE_SUGGESTION end
133,Remove extra lines!,add REFACTORING_SUGGESTION end
134,"@{5f1ea4d770fb250022a6f5c1} Follow below routes for returns,

Create Flow, `/returns/new`

* Default landing `/returns/new`
* Search & Add Skus `/returns/new/add`
* View added Sku `/returns/new/confirm`
* Success `/returns/new/success`

Previous Returns / Return history, `/returns`

Return Details, `/returns/details/:returnId`",add CODE_SUGGESTION end
135,"When we have these many imports in a file, it’s very difficult to read and find import / imports, Please check below pattern of importing,

```
import React, { useState, useContext } from 'react';
import { makeStyles } from '@material-ui/core/styles';

import Box from '@material-ui/core/Box';
import Grid from '@material-ui/core/Grid';
import Paper from '@material-ui/core/Paper';
import Typography from '@material-ui/core/Typography';
import CircularProgress from '@material-ui/core/CircularProgress';

import AddCircleIcon from '@material-ui/icons/AddCircle';
import ArrowBackIosIcon from '@material-ui/icons/ArrowBackIos';

import SearchProducts from './components/SearchProducts';
import ProductsToReturnList from './components/ProductsToReturnList';
import ProductsToReturnEdit from './components/ProductsToReturnEdit';
import ProductReturnFooterButton from './components/ProductReturnFooterButton';
import ProductsCartAndSuccessPage from './components/ProductsCartAndSuccessPage';
import { useQuerySaleReturnReasons } from './containers/useQuerySaleReturnReasons';
import { useMutationRequestSaleReturn } from './containers/useMutationRequestSaleReturn';

import { postWithFile } from 'network';
import { UPLOAD_SKU_PICTURE } from 'constants/api';
import { SOMETHING_WENT_WRONG } from 'constants/errors';
import { SnackbarContext } from 'contexts/SnackbarContext';
import { RetailerContext } from 'contexts/RetailerContext';
import { PRODUCTS_TO_RETURN, PLEASE_FILL_QUANTITY_REASON } from 'constants/strings';
```

:red_circle:  **Note:** _Keep absolute import on the top '(i.e. react, material-ui'), then your relative imports. Also group similar imports for better readability._",add CODE_SUGGESTION end
136,"Keep one key for images, instead of `imageUrls` and `returnProductImageUrl`

```
{
  ...
  images: [
    {
      url: """",
      filename: """",
    }
  ]
}
```

:red_circle: **Note:** _This way it will be easy lookup at one key, Also at time of_ `requestSaleReturn` _format the request payload as required._",add CODE_SUGGESTION end
137,We are using this function only once. So why can’t we keep it in `onSubmitReturnRequest` function.,add CODE_SUGGESTION end
138,":red_circle: Please don’t do this, no hardcoded strings in the component. Every strings must import from Trans.",add BUGGYCODE_SUGGESTION end
139,"Can’t we use `check_circle` icon from material icon with primary color?

:red_circle: **Note:** _Every file we include build will be downloaded in client device, So, first preference if you find some icon in material icons, please use it instead of adding an image file._",add CODE_SUGGESTION end
140,"We are adding while png '(2000 x 2000') image for no image case!! It’s not valuable.

We can easily solve this having a wrapper with **fixed height & width** with **background color grey**",add BUGGYCODE_SUGGESTION end
141,"@{5f1ea4d770fb250022a6f5c1} 

`export const ITEM = <Trans>ITEM</Trans>;`

1. Why we are writing in capital case again ?
2. Not handled plurals '(e.g. 1 item & 2 items')

‌",add BUGGYCODE_SUGGESTION end
142,@{5f1ea4d770fb250022a6f5c1} Please create enums for sales return status,add BUGGYCODE_SUGGESTION end
143,"@{5f1ea4d770fb250022a6f5c1} 

We don’t need to send null value",add CODE_SUGGESTION end
144,"@{5f1ea4d770fb250022a6f5c1} 

`Pics uploaded` is not a right sentence, please make it **View uploaded image**

‌",add SPELLING_SUGGESTION end
145,"```
Configure dimensions, measures, etc, and click 'SAVE & REFRESH' to view some data
```

I Think it should be like, To view the data, Configure some dimensions, measures. And, Click on `'SAVE & REFRESH'` .

‌",add CODE_SUGGESTION end
146,If not using please remove this,add REFACTORING_SUGGESTION end
147,"Why we are querying `useQueryClientCalender` here again?  
  
We already queried and we have the data as `customMonths` .",add CODE_SUGGESTION end
148,"```
import { endOfDay, startOfDay } from 'date-fns';

end: endOfDay(new Date(end)),
start: startOfDay(new Date(start)),
```

‌",add CODE_SUGGESTION end
149,"  
Getting last month interval logic is not correct always, Here is some scenario,

Today’s Date - **15-10-2020** '(DD-MM-YYYY')

  
**Secnario #1**  
  
Client's Months,  
_M 1_ - **12-08-2020** to **11-09-2020** - _'(as per current logic, this might be last month')_  
_M 2_ - **12-09-2020** to **11-10-2020** - _Last month_  
_M 3_ - **12-10-2020** to **11-11-2020** - _This month_  
  
  
**Secnario #2**

Client's Months,  
_M1_ - **28-09-2020** to **04-10-2020**  
_M2_ - **05-10-2020** to **11-10-2020** - Last month '(As per current logic, it’s not the last month')  
_M3_ - **12-10-2020** to **18-10-2020** - This month  

**How should we find last month?**

1. Get the start of current month.
2. Keep subtracting 1 day from that date & find if there is any interval.
3. Once interval found, stop subtracting.

@{557058:4e711a49-b8fe-4901-8633-13a0c17ad34c} :point_up_2: :point_up_2: :point_up_2: ",add BUGGYCODE_SUGGESTION end
150,"We shouldn’t solve this this way, it will be hardcoded this way.

**It should be based on locale value.**",add BUGGYCODE_SUGGESTION end
151,"Props name `selectedJoins` instead of `joins`

It will be same pattern like `selectedMeasures` & `selectedDimensions`",add CODE_SUGGESTION end
152,"Actually we are putting unnecessary checks here, `(joins || []).map(...)` should be good enough.

@{5f1ea4d770fb250022a6f5c1} Can you refactor it all the places in this component?",add REFACTORING_SUGGESTION end
153,"@{5f1ea4d770fb250022a6f5c1} Please check the following point,

* Can we keep in the function, where it’s required? I see only used in one place.
* Check the below reusable code snippet,

```
const DEFAULT_JOIN_KEY_MAP = {
  joinedKey: '',
  parentKey: '',
};

const DEFAULT_JOIN = {
  table: '',
  joinType: '',
  joinKeysMaps: [
    { ...DEFAULT_JOIN_KEY_MAP },
  ],
};
```

‌",add CODE_SUGGESTION end
154,"@{5f1ea4d770fb250022a6f5c1}  I think we are doing cleanup here.

Instead of clean-up can we let’s do a validation in the component itself. **Don’t allow user to add another join if table field of last join is not filled.**",add LOGICAL_SUGGESTION end
155,"@{5f1ea4d770fb250022a6f5c1} Try to create new array reference instead of mutating the same object reference. Here you are updating selected joins by modifying the exiting  array '(i.e. object') before calling `onChangeJoins` . It’s not a best practice.

```
const handleRemoveJoin = () =>
  onChangeJoins([...(joins.slice(0, -1))]);
```

Reference to read,

**Array.prototype.splice'(')** - [  
  
**Array.prototype.slice'(')** - [",add CODE_SUGGESTION end
156,"Does `arr.reduce` is required here?

```
const handleChangeJoin = (index, updatedJoin) => {
  const updateJoins = joins.map((join, i) => i === index ? updatedJoin : join);
  onChangeJoins([...updateJoins]);
};
```

‌",add CODE_SUGGESTION end
157,"By default it always pick `index` file,

`import { JOIN_ACTIONS } from '../constants';`",add CODE_SUGGESTION end
158,"**We don’t need the handler here.**

This functionality should be internal to the each join. So, I think we should keep it in `JoinsCard` component. External to `JoinsCard` component always should be add, update or remove **whole join** object.",add BUGGYCODE_SUGGESTION end
159,"I think it should **Done** instead of **Save**.

Because we are not saving anything in backend here. It just closing the Dialog & Updating JSON in the UI.",add LOGICAL_SUGGESTION end
160,What the use of the `<Box> `here?,add QUESTIONING end
161,"`import { JOIN_KEYS, JOIN_ACTIONS } from '../constants';`",add CODE_SUGGESTION end
162,Can we move it → `'../constants'` ?,add CODE_SUGGESTION end
163,"@{5f1ea4d770fb250022a6f5c1} Yea got it, but we should to both.",add COMPLETENESS_SUGGESTION end
164,@{5f1ea4d770fb250022a6f5c1} This helper logic is not correct. Please check,add BUGGYCODE_SUGGESTION end
165,"```
onChange={(event, options) => {
  const values = options.map(o => o.key)
  handleChange(CONDITION_KEYS.VALUES, values);
}}
```

‌",add CODE_SUGGESTION end
166,what kind of condition is this?,add QUESTIONING end
167,@{5f1ea4d770fb250022a6f5c1}  Need to rename this file as **useQueryTables.js**,add REFACTORING_SUGGESTION end
168,Do we need to query `relatedTables` here?,add QUESTIONING end
169,"@{5f1ea4d770fb250022a6f5c1} :point_down:   
  
Can we rename this file & component as **TableSelectionDialog.jsx**",add QUESTIONING end
170,"```
export const COLUMN_TYPES = {
  DIMENSION: 'DIMENSION',
  MEASURE: 'MEASURE',
};

COLUMN_TYPES_LABEL = {
  [COLUMN_TYPES.DIMENSION]: 'Dimensions',
  [COLUMN_TYPES.MEASURE]: 'Measures'
}
```

‌",add CODE_SUGGESTION end
171,If we don’t have any use of this then please remove this.,add REFACTORING_SUGGESTION end
172,"Simply this can do the job,  
  
`COLUMN_TYPES_LABEL[type]`",add CODE_SUGGESTION end
173,"@{5f1ea4d770fb250022a6f5c1}   
  
Do we need to refactor the `parameters` '(i.e. columns') now?   
  
_**Because previously it was in different keys and nested structure for parameter but now we are getting everything in flat single array.**_

‌",add QUESTIONING end
174,"@{5f1ea4d770fb250022a6f5c1}   
  
Why we are using another `useEffect` just to do `setMeasures` & `setDimensions` ?  
  
**Can’t we do it in** `onCompleted` **of** `fetchConfigurations` ?",add CODE_SUGGESTION end
175,"@{5f1ea4d770fb250022a6f5c1}  :point_down:   
  
Do we need to set another state for `configurations` here?

`const [fetchConfigurations, { loading: loadingConfig, data: configurations }]`",add QUESTIONING end
176,"We are doing same check few places, keep one variable on the top,  
  
`const configurations = (data && data.configurableWidget) || null;`

‌",add CODE_SUGGESTION end
177,Can you please make it c → country,add CODE_SUGGESTION end
178,"Why we are querying `relatedTables` inside `relatedTables` again?

I think it should be like this,

```
tables(baseTable: $baseTable, joinedTables: $joinedTables) {
  key
  alias
  description
  relatedTables {
    alias
    description
    key
  }
}
```

‌",add CODE_SUGGESTION end
179,"@{557058:4e711a49-b8fe-4901-8633-13a0c17ad34c} Can’t we do it like, `extras.sizing.byStep(3)`",add CODE_SUGGESTION end
180,"Please do it like,  
!!onChange && <onChange function with all parameters>.

‌",add CODE_SUGGESTION end
181,MenuProps='{'{ classes: '{ paper: classes.select '} '},add CODE_SUGGESTION end
182,Can’t we use spacing'(1') directly → By replacing theme → spacing,add QUESTIONING end
183,"Please add,  
'(pickerRanges || '[']')",add BUGGYCODE_SUGGESTION end
184,"Please, import it with top imports like after line no. 4 → default imports",add CODE_SUGGESTION end
185,"If you are looking for 128 px height, then

`maxHeight: extras.sizing.byStep(4),`",add CODE_SUGGESTION end
186,"Just pass the `customMonths` here like other filters.

Do required things inside respective component.",add CODE_SUGGESTION end
187,``key={`${type}-custom-month-range-filter`}``,add CODE_SUGGESTION end
188,"**Why taking this much pain!** 

Keep `SelectDateRange.jsx` in the same folder.",add CODE_SUGGESTION end
189,"`margin: spacing(1)`

**Please remove, we don’t need this.** This causing issue, pushing two select field towards right side.",add BUGGYCODE_SUGGESTION end
190,"Change the file/component name to `ClientMonthRangeFilter.jsx`

Somewhere it `ClientMonthRangeFilter` , somewhere `ClientCalendarRangeFilter` . Follow same naming.",add CODE_SUGGESTION end
191,@{557058:4e711a49-b8fe-4901-8633-13a0c17ad34c} extras.sizing.byStep'(6') = 512px,add CODE_SUGGESTION end
192,"@{557058:4e711a49-b8fe-4901-8633-13a0c17ad34c} If need it at top level we can do it in transform function '(i.e. `transformClientCalenders`'). I don’t see now it’s required for other components. So, we can keep it in `ClientCalendarRangeFilter` component as of now.",add CODE_SUGGESTION end
193,"@{557058:4e711a49-b8fe-4901-8633-13a0c17ad34c} Put 1 check here like, !!`sortedCustomMonths` && <Ur sorting thing>",add CODE_SUGGESTION end
194,"@{557058:4e711a49-b8fe-4901-8633-13a0c17ad34c} Is this not solving the problem? :point_down: 

```
const sortedCustomMonths = [...(customMonths || [])].sort((a, b) =>
  isAfter(new Date(a.startDate), new Date(b.startDate)) ? -1 : 1
);

<SelectDateRange
  start={range && range.start}
  end={range && range.end}
  startLabel={startLabel}
  endLabel={endLabel}
  id={`${type}-select-date-range-filter`}
  customMonths={sortedCustomMonths}
  onChange={values => handleOnChange(values, index)}
  gridItemProps={customDatePickerGridItemProps}
/>
```

‌",add CODE_SUGGESTION end
195,"@{557058:4e711a49-b8fe-4901-8633-13a0c17ad34c} This function called twice, Can we avoid doing it here?  
  
Check my above comment :point_up_2: ",add CODE_SUGGESTION end
