commentText	commentClassification
 f d d f b cf fd c we need to change the in orderdetails .jsx file . 	code suggestion
what was the issue with this ?	questioning
we need not to query typename it s fetched by default	code suggestion
check if any usage other place if not remove .	completeness suggestion
did you try the default marker i think it used the same image that you are adding in custom marker . is there some reason for using custom marker other than the image ?	questioning
 a c bb c ee ca f i hope you checked the impact areas and tested .	completeness suggestion
we must avoid this hardcoding !	buggycode suggestion
do we need to query this ? 	questioning
if there is no action on a widget then also checkbox will be visible ?	questioning
removed the logs	refactoring suggestion
can we pick it from theme ?	questioning
can we pick it from theme ?	questioning
can we pick it from theme ?	questioning
can we create a constant for week month then iterate it ?	buggycode suggestion
 no entry sign build is failing on this pr please look into it .	buggycode suggestion
so we have to add flowfixme for every style rule ! ! ! is that any other way to solve it ? ?	code suggestion
 a c bb c ee ca f did you checked this ?	questioning
 widgetdrawer should not be part of table . it should be part of widget .jsx that way it s a property if widget irrespective of any data view .	code suggestion
 a c bb c ee ca f this needs to be looked at	completeness suggestion
 a c bb c ee ca f as we discussed we can directly open the widget drawer if any action is available instead of clicking another button	code suggestion
 a c bb c ee ca f . make a proper id . dialog title should include the action name and widget name it s hardcoded now 	buggycode suggestion
 a c bb c ee ca f there are few incomplete comment proceed with dev merge please look into those and do it before release merge .	completeness suggestion
this should an enum from backend .	code suggestion
you can keep this and in the dialog add below ids cancel button id gtm button cancel order dismiss confirm button id gtm button cancel order confirm 	code suggestion
there won t be any case where p .unitspercase ? if so we need to handle this .	buggycode suggestion
first letter in caps ?	spelling suggestion
why we referring placed from salesman orders can also be placed by distributor dmd backend 	questioning
if we keep this modal here every card will contain it s own modal ! ! ! e a b fe a c ad c please follow how offer modal has been developed .	buggycode suggestion
 e a b fe a c ad c please check the delete button is this the correct behavior ? ! 	buggycode suggestion
are we using the index ?	questioning
why is this required ?	questioning
 a c bb c ee ca f so your url already has the dashboard id in it . why are you saving redundant data ?	questioning
as discussed with a c bb c ee ca f this is for now storing the url as well as the dashboard id . further contextual changes can be expected . this is alright for the first cut .	completeness suggestion
please don t keep code commented if you need keep all the valid cases please keep it else keep the valid one .	refactoring suggestion
please check below points . pull the function out of this component ref . same as isnested function . didn t we need else condition here ? 	buggycode suggestion
please define the constant i .e . enums here and use it instead of hardcoded strings so that we know what are the possible values from backend . const not defined not defined const alignments right right left left not defined not defined const data type string string number number not defined not defined 	buggycode suggestion
create helper function getalignment with switch condition keep a you case clean use getalignment here instead of nested complex if else condition .	code suggestion
please check the following points . condition for returning fff not correct . it s breaking the existing table with alternate color in case bgcolor not defined . ! note i think we shouldn t anything in the case of not defined and invalid hash color . a c bb c ee ca f please check on this point up 	buggycode suggestion
create helper function getfontfamily with switch condition keep a you case clean use getfontfamily here instead of nested complex if else condition . also check this in below screenshot ramdev vedam shouldn t be in monospace ! 	code suggestion
 f ea d fb a f c please look at this code const getalignment header value if ! !header .alignment header .alignment alignments .right header .alignment alignments .left return header .alignment if ! !header .datatype header .datatype data type .number typeof value data type .number return alignments .right return alignments .left how do we use getalignment in enhancedtablehead component ? ans keep this function outside of table component as i said in earlier component	code suggestion
 f ea d fb a f c please check out this const getfontfamily header if header .datatype data type .number return font family .monospace return font family .sans serif 	buggycode suggestion
 e a b fe a c ad c please check the reorder functionality now we are disabling case when unitpercase is we need to remove this logic from product page . 	buggycode suggestion
at product cart summary page . we filter out the products bases on active status . we need to add this check there also	code suggestion
 f d d f b cf fd c please specify the tickets ?	logistics suggestion
 a c bb c ee ca f please specify the tickets ?	logistics suggestion
what are the action types ? can t we keep it constants enums ?	buggycode suggestion
we will put this out in the release note right ?	questioning
why can t we name it just population 	questioning
 a c bb c ee ca f what is exactly ? by looking at pop i don t understand what it is !	questioning
 e a b fe a c ad c there are conflicts please resolve	logistics suggestion
remove this	refactoring suggestion
remove line	refactoring suggestion
never do this	buggycode suggestion
can t we use any other comments which is already there	code suggestion
there is one upload images and upload image which one we need ? please use one .	code suggestion
 f ea d fb a f c if there is any similar strings present please try to use if possible . it will reduce translations in different locale	reuse suggestion
why hardcoded string is in img src ?	buggycode suggestion
can t we solve like this padding spacing 	code suggestion
 marginbottom spacing 	code suggestion
 margintop spacing 	code suggestion
 fetchpolicy cache and network 	code suggestion
 typename do we need it ?	code suggestion
we are using this function only once . so why can t we keep it in savereturnrequest variables . . . 	questioning
it s not a correct way of naming component !	buggycode suggestion
please name this component file as searchproducts .jsx 	spelling suggestion
 no entry sign no entry sign no entry sign no entry sign no entry sign no entry sign f ea d fb a f c as i explained you you need to follow the way we are handling loyaltyenabled settings in loyalty feature . please consider following scenario salereturnenabled is a company wise settings . that means in case of multi brand i .e . multi company context each brand will have it s own settings . now for brand salereturnenabled is disabled but for brand salereturnenabled is enabled . as per your implementation if we block at drawer menu then how user will access product return in brand . so please follow how we are handling loyalty with company settings .	buggycode suggestion
 export const returns trans returns trans red circle note without any major reason text and variable should not be different it will create confusion by looking at component and actual text on the page 	code suggestion
 export const upload images trans upload images trans red circle note please follow below sentence conventions upload images return successful place product return request product return successful 	code suggestion
 export const shopping cart trans shopping cart trans red circle note mostly similar comments in bellow lines as well please review below lines 	code suggestion
please remove exclamation mark here it s unnecessary !	buggycode suggestion
why we need put br in between screen ? ! ? ! red circle note first of all there should not be html tag in between string translation . also why we need to forcefully break the sentence into second line let it adjust based on screen size i .e . width 	code suggestion
remove extra lines !	refactoring suggestion
 f ea d fb a f c follow below routes for returns create flow returns new default landing returns new search add skus returns new add view added sku returns new confirm success returns new success previous returns return history returns return details returns details returnid 	code suggestion
when we have these many imports in a file it s very difficult to read and find import imports please check below pattern of importing import react usestate usecontext from react import makestyles from material ui core styles import box from material ui core box import grid from material ui core grid import paper from material ui core paper import typography from material ui core typography import circularprogress from material ui core circularprogress import addcircleicon from material ui icons addcircle import arrowbackiosicon from material ui icons arrowbackios import searchproducts from . components searchproducts import productstoreturnlist from . components productstoreturnlist import productstoreturnedit from . components productstoreturnedit import productreturnfooterbutton from . components productreturnfooterbutton import productscartandsuccesspage from . components productscartandsuccesspage import usequerysalereturnreasons from . containers usequerysalereturnreasons import usemutationrequestsalereturn from . containers usemutationrequestsalereturn import postwithfile from network import upload sku picture from constants api import something went wrong from constants errors import snackbarcontext from contexts snackbarcontext import retailercontext from contexts retailercontext import products to return please fill quantity reason from constants strings red circle note keep absolute import on the top i .e . react material ui then your relative imports . also group similar imports for better readability . 	code suggestion
keep one key for images instead of imageurls and returnproductimageurl . . . images url filename red circle note this way it will be easy lookup at one key also at time of requestsalereturn format the request payload as required . 	code suggestion
we are using this function only once . so why can t we keep it in onsubmitreturnrequest function .	code suggestion
 red circle please don t do this no hardcoded strings in the component . every strings must import from trans .	buggycode suggestion
can t we use check circle icon from material icon with primary color ? red circle note every file we include build will be downloaded in client device so first preference if you find some icon in material icons please use it instead of adding an image file . 	code suggestion
we are adding while png x image for no image case ! ! it s not valuable . we can easily solve this having a wrapper with fixed height width with background color grey 	buggycode suggestion
 f ea d fb a f c export const item trans item trans . why we are writing in capital case again ? . not handled plurals e .g . item items 	buggycode suggestion
 f ea d fb a f c please create enums for sales return status	buggycode suggestion
 f ea d fb a f c we don t need to send null value	code suggestion
 f ea d fb a f c pics uploaded is not a right sentence please make it view uploaded image 	spelling suggestion
 configure dimensions measures etc and click save refresh to view some data i think it should be like to view the data configure some dimensions measures . and click on save refresh . 	code suggestion
if not using please remove this	refactoring suggestion
why we are querying usequeryclientcalender here again ? we already queried and we have the data as custommonths .	code suggestion
 import endofday startofday from date fns end endofday new date end start startofday new date start 	code suggestion
getting last month interval logic is not correct always here is some scenario today s date dd mm yyyy secnario client s months m to as per current logic this might be last month m to last month m to this month secnario client s months m to m to last month as per current logic it s not the last month m to this month how should we find last month ? . get the start of current month . . keep subtracting day from that date find if there is any interval . . once interval found stop subtracting . e a b fe a c ad c point up point up point up 	buggycode suggestion
we shouldn t solve this this way it will be hardcoded this way . it should be based on locale value . 	buggycode suggestion
props name selectedjoins instead of joins it will be same pattern like selectedmeasures selecteddimensions 	code suggestion
actually we are putting unnecessary checks here joins .map . . . should be good enough . f ea d fb a f c can you refactor it all the places in this component ?	refactoring suggestion
 f ea d fb a f c please check the following point can we keep in the function where it s required ? i see only used in one place . check the below reusable code snippet const default join key map joinedkey parentkey const default join table jointype joinkeysmaps . . .default join key map 	code suggestion
 f ea d fb a f c i think we are doing cleanup here . instead of clean up can we let s do a validation in the component itself . don t allow user to add another join if table field of last join is not filled . 	logical suggestion
 f ea d fb a f c try to create new array reference instead of mutating the same object reference . here you are updating selected joins by modifying the exiting array i .e . object before calling onchangejoins . it s not a best practice . const handleremovejoin onchangejoins . . . joins .slice reference to read array .prototype .splice array .prototype .slice 	code suggestion
does arr .reduce is required here ? const handlechangejoin index updatedjoin const updatejoins joins .map join i i index ? updatedjoin join onchangejoins . . .updatejoins 	code suggestion
by default it always pick index file import join actions from . . constants 	code suggestion
 we don t need the handler here . this functionality should be internal to the each join . so i think we should keep it in joinscard component . external to joinscard component always should be add update or remove whole join object .	buggycode suggestion
i think it should done instead of save . because we are not saving anything in backend here . it just closing the dialog updating json in the ui .	logical suggestion
what the use of the box here ?	questioning
 import join keys join actions from . . constants 	code suggestion
can we move it . . constants ?	code suggestion
 f ea d fb a f c yea got it but we should to both .	completeness suggestion
 f ea d fb a f c this helper logic is not correct . please check	buggycode suggestion
 onchange event options const values options .map o o .key handlechange condition keys .values values 	code suggestion
what kind of condition is this ?	questioning
 f ea d fb a f c need to rename this file as usequerytables .js 	refactoring suggestion
do we need to query relatedtables here ?	questioning
 f ea d fb a f c point down can we rename this file component as tableselectiondialog .jsx 	questioning
 export const column types dimension dimension measure measure column types label column types .dimension dimensions column types .measure measures 	code suggestion
if we don t have any use of this then please remove this .	refactoring suggestion
simply this can do the job column types label type 	code suggestion
 f ea d fb a f c do we need to refactor the parameters i .e . columns now ? because previously it was in different keys and nested structure for parameter but now we are getting everything in flat single array . 	questioning
 f ea d fb a f c why we are using another useeffect just to do setmeasures setdimensions ? can t we do it in oncompleted of fetchconfigurations ?	code suggestion
 f ea d fb a f c point down do we need to set another state for configurations here ? const fetchconfigurations loading loadingconfig data configurations 	questioning
we are doing same check few places keep one variable on the top const configurations data data .configurablewidget null 	code suggestion
can you please make it c country	code suggestion
why we are querying relatedtables inside relatedtables again ? i think it should be like this tables basetable basetable joinedtables joinedtables key alias description relatedtables alias description key 	code suggestion
 e a b fe a c ad c can t we do it like extras .sizing .bystep 	code suggestion
please do it like ! !onchange onchange function with all parameters . 	code suggestion
menuprops classes paper classes .select 	code suggestion
can t we use spacing directly by replacing theme spacing	questioning
please add pickerranges 	buggycode suggestion
please import it with top imports like after line no . default imports	code suggestion
if you are looking for px height then maxheight extras .sizing .bystep 	code suggestion
just pass the custommonths here like other filters . do required things inside respective component .	code suggestion
 key type custom month range filter 	code suggestion
 why taking this much pain ! keep selectdaterange .jsx in the same folder .	code suggestion
 margin spacing please remove we don t need this . this causing issue pushing two select field towards right side .	buggycode suggestion
change the file component name to clientmonthrangefilter .jsx somewhere it clientmonthrangefilter somewhere clientcalendarrangefilter . follow same naming .	code suggestion
 e a b fe a c ad c extras .sizing .bystep px	code suggestion
 e a b fe a c ad c if need it at top level we can do it in transform function i .e . transformclientcalenders . i don t see now it s required for other components . so we can keep it in clientcalendarrangefilter component as of now .	code suggestion
 e a b fe a c ad c put check here like ! ! sortedcustommonths ur sorting thing 	code suggestion
 e a b fe a c ad c is this not solving the problem ? point down const sortedcustommonths . . . custommonths .sort a b isafter new date a .startdate new date b .startdate ? selectdaterange start range range .start end range range .end startlabel startlabel endlabel endlabel id type select date range filter custommonths sortedcustommonths onchange values handleonchange values index griditemprops customdatepickergriditemprops 	code suggestion
 e a b fe a c ad c this function called twice can we avoid doing it here ? check my above comment point up 	code suggestion
 import currency signs from bizom mui lib utils charactercodes should be at line no . 	code suggestion
can we use spacing instead of extras .spacing .bystep same goes for below totalitems 	code suggestion
can we do it like only offers .length instead of offers .length 	code suggestion
 import currency signs from bizom mui lib utils charactercodes please keep this above	code suggestion
is it ok to put it here . if possible can we move it to any constants file .	buggycode suggestion
keep this import with other material ui imports .	code suggestion
please use spacing instead of extras .spacing .bystep same for below chip class css .	code suggestion
can we please put into any constants file use it .	buggycode suggestion
please map using filters filters 	code suggestion
please put this on import currency signs from bizom mui lib utils charactercodes line no . 	code suggestion
if we don t need this commented code please remove it .	refactoring suggestion
 const conditions setconditions usestate 	code suggestion
 . . . new set joinedtables 	code suggestion
 key join conditions index 	code suggestion
 f ea d fb a f c please check this logic useeffect if !join join keys .join conditions return const joinconditions condition join if ! !condition condition keys .condition models setconditions condition else setconditions conditiontype compound condition type .and condition conditionmodels condition join 	buggycode suggestion
why need another state i .e . selectedwidget to store widget const fetchwidget data loading loadingwidget uselazyquerywidget . . is above data is not same as widget ?	code suggestion
to make it ellipsis and in width we are adding class on grid . is it not solving passing props as display inline and nowrap in typography 	code suggestion
we are doing an expensive job keeping only a loading state all the way to playground component .	buggycode suggestion
 f ea d fb a f c i am still not convinced with this still you can merge this . we discuss this later and find better solution .	completeness suggestion
this part is enough you don t need to put a ternary condition	code suggestion
 f ea d fb a f c decline this pr ?	questioning
 f ea d fb a f c why we are doing this ?	questioning
it s should adding it again we have done changes other places while doing it . f ea d fb a f c so better we revert the previous pr	buggycode suggestion
this is the main change right ? where the type is boolean but we are not showing in string format ?	questioning
 f ea d fb a f c let s not merge it for now . if we are releasing with these changes then let s merge it .	logistics suggestion
spelling of widget is wrong did you test this ?	buggycode suggestion
these changes are yours ? 	questioning
keep this enums inside paymentgateway screens ngenius because this is very specific ngenius .	code suggestion
try a non mutating way of delete	code suggestion
why allparameters instead of allprojections ? 	questioning
i would suggest to keep both instead	logical suggestion
get both instead 	logical suggestion
i m not really comfortable with this kind of change where we are passing a whenthenindex . can we not figure out with the index key and value itself ?	buggycode suggestion
this should be done in a separate pr it s not related to this pr	logistics suggestion
rename groupby orderby appropriately and make the changes in a separate pr	spelling suggestion
please name this properly	spelling suggestion
 f ea d fb a f c can we avoid this unnecessary changes before committing ? this file has very few changes but there are so many diffs ! why we remove semi colons ?	code suggestion
i mentioned this to be resolved . still not done !	completeness suggestion
 f ea d fb a f c i am not sure what the bugs ! can you please mention the tickets in pr description ?	documentation suggestion
why are we doing this ?	questioning
also the aliases should be driven from the projections right ? instead of dimensions ? please get clarity on this during the standup	questioning
looks good to me b e e c c bb f please check it on your side once	completeness suggestion
keep it as it was before right side of the add join button 	code suggestion
 e a b fe a c ad c if this pr is complete we have to do it before merge otherwise will not have track or might forget .	logistics suggestion
if not required please remove .	refactoring suggestion
 no columns for selection 	code suggestion
same import in line 	code suggestion
can we declare in line ?	questioning
i didn t understand this comment ?	questioning
remove it it may not be required . if there any feedback later we can plan for it .	refactoring suggestion
 recursive list projection keys recursive concat list projection keys e a b fe a c ad c can we do it like this for more clarity ?	code suggestion
 e a b fe a c ad c have to add key recursive concat list projections lindex 	code suggestion
 e a b fe a c ad c have to add key recursive projections recursivekey 	code suggestion
 e a b fe a c ad c ok . if it is not being used in when then after all projections implementation . please remove it .	refactoring suggestion
 e a b fe a c ad c is there any case that keys from fieldsfortype does not include currentprojection field ? if not please remove this if block .	refactoring suggestion
make it add dimensions properties change key of icon	code suggestion
 e a b fe a c ad c can t we put arrayutils .js validation .js both in main utils of pwa app . can be used globally .	logical suggestion
please change variable name . columnsoftype allcolumnsoftype 	spelling suggestion
i didn t understand it ?	questioning
let s cleanup this file if we don t need	refactoring suggestion
 onchange . . .parentprojection parentkey filteredarray 	code suggestion
 handlenestedchanges . . .currentprojection key added 	code suggestion
 onchange . . .updated parentkey updatedarray 	code suggestion
 onchange . . .updated parentkey updatedvalue 	code suggestion
can we change the spelling of this ?	spelling suggestion
better if we can make widgetid instead of dashboardid in this query . need to do it backend first	code suggestion
why is this secondary ?	questioning
you can do the mapping part outside itself . otherwise for every projection you are doing a map .	buggycode suggestion
 f ea d fb a f c so can we not do this ? javascript parameters .filter p p .type enum column types .dimension .map a a .key 	code suggestion
 f ea d fb a f c what is type of groupby orderby ? even then everytime it s secondary .	questioning
this sounds more like a command . be gentle to the user	logical suggestion
you can do includes 	code suggestion
you ve missed my point completely . the whole idea was to have it outside so that you save unnecessary iterations . please re work on this	buggycode suggestion
we can put this in the constants file	buggycode suggestion
i think we will have to handle the projection part in subqueries as well . i will try it on my local later for this change	buggycode suggestion
panel left will require projections otherwise we cannot have nested projections if any	buggycode suggestion
i believe even groupby and orderby will come into picture here	buggycode suggestion
please check the implementations for base level . it s done the other way	buggycode suggestion
also setprojections ?	spelling suggestion
can we rename the key as well ?	spelling suggestion
 b e e c c bb f please put condition directly instead of selected currentcondition 	code suggestion
please make this argument string optional for onclose .	code suggestion
handlechangemodel is sufficient but not a priority	logical suggestion
isn t validjoins .length sufficient ?	questioning
 e a b fe a c ad c change id	spelling suggestion
 e a b fe a c ad c can we make function for this . and put it into that .	refactoring suggestion
 e a b fe a c ad c can t we put this object containing projection condition out will call here . this is looking complex .	code suggestion
are we going to use listindex into whenthenrelation . otherwise please remove it .	refactoring suggestion
please define all the props expecting into whenthenrelation 	code suggestion
 e a b fe a c ad c correct me if i am wrong . const whenthenrelation allparameters whenthenprojection parentprojection projectionindex projectionlevel whenthenindex selectedprojections type parentkey onchange whenthenrelationprop this component is expecting this much of props . so can t we define all into type whenthenrelationprop .	code suggestion
 addicon size small add 	code suggestion
better to make it apply bcoz not saving 	spelling suggestion
there are unnecessary changes in this file . can you please check what wrong ?	buggycode suggestion
shouldn t these be independent conditions ?	questioning
if we are not using event then mark it event 	code suggestion
use constant value	buggycode suggestion
 f ea d fb a f c what if one of them is passed ?	questioning
 e a b fe a c ad c can t we give it as extras .sizing .bystep 	code suggestion
what about wa ?	questioning
 e a b fe a c ad c why we added this ? please explain .	questioning
 e a b fe a c ad c ok i will look into it . please assign ticket to me .	logistics suggestion
constants file	buggycode suggestion
instead of hard deleting can we do it in immutable way ?	code suggestion
you can directly send selectedprojections no need to spread it again it s already an array	code suggestion
let s try to put the selecteddimensions ahead of newselected in that way dimensions is always followed by measures in the projections list . please change appropriately in other places of this file if any 	code suggestion
why the change from onchangejoins to setmodifiedjoins ?	questioning
please rename the function . it is not clear what you are validating by key ?	spelling suggestion
this is in efficient . please use hasduplicates function which is an optimized way to find whether there is any duplicates or not .	buggycode suggestion
 f ea d fb a f c you can map it and then send it right ?	questioning
make id subquery data view failure 	code suggestion
 e a b fe a c ad c please make it same as the no data found page . or you can use blanksection component also .	code suggestion
 e a b fe a c ad c confused for this filtering please explain .	questioning
remove this loading console keep the following console of tables	code suggestion
put a default value here .	buggycode suggestion
why is this required ?	questioning
please rename this properly	spelling suggestion
rename this	spelling suggestion
create a new tables array and then sort	code suggestion
 e a b fe a c ad c remove this chip css you are not using in this componenet	refactoring suggestion
instead of passing appparameters . can we pass limittypes offsettypes seperate	code suggestion
 e a b fe a c ad c yes but i think we are passing whole object unnecessarily .	code suggestion
why are we using span ?	questioning
please write it in an if else block . this code is hard to understand 	code suggestion
 f ea d fb a f c wont a div suffice ?	questioning
spelling	spelling suggestion
spelling	spelling suggestion
use this flag on config data view	code suggestion
shouldn t it be the case that all are empty then you set it to null ? otherwise carry on editing condition ?	questioning
what is this index and is it okay to hardcode a check on index value ?	buggycode suggestion
why do you need this ?	questioning
why should this condition be in error state ?	questioning
 selections 	code suggestion
still work in progress ?	completeness suggestion
what is this for ?	questioning
have you explored the other packages ? react dnd and other that i mentioned ? what were the results of those ?	completeness suggestion
looks good to me . b e e c c bb f please have a look at the packages that s installed . please check and approve on your side	completeness suggestion
can we keep it in the handle itself with some comment ?	logical suggestion
remove from version .	refactoring suggestion
remove from version	refactoring suggestion
import usestate directly instead of react .usestate 	code suggestion
 e a b fe a c ad c if suppose we are creating new states in future . so that will be easy i think .	logical suggestion
can we put it in single if statement	refactoring suggestion
 why we are using setinterval ? i think we are running update in every minutes . are we clearing setinterval ? 	code suggestion
 e a b fe a c ad c let describe with some comments why we are doing this ?	documentation suggestion
 r .selectedvalues .map	code suggestion
 a c bb c ee ca f please do the same changes at all places .	refactoring suggestion
will issafeinteger work here ?	code suggestion
 f ea d fb a f c issafeinteger can be used in the second half of the condition . please check if it works	code suggestion
 flow 	code suggestion
if we do not require these themes component then remove it	refactoring suggestion
please investigate this . all the other components are using it and it s applying successfully . i m not accepting an inline styling	buggycode suggestion
why do you need classes ? won t root in usestyles work ?	code suggestion
change the variable name to something more suitable	spelling suggestion
 why we are complicating it ? make widget name as required and show error .	code suggestion
please remove	refactoring suggestion
what do the regex stand for ?	questioning
can be in constants file	buggycode suggestion
please rename the values inside reduce this is not how reduce variables are named .	buggycode suggestion
why do you need the next column ?	questioning
is this the default value ?	questioning
similar pieces of code please de duplicate it	buggycode suggestion
instead of sending true false send the key itself . that way it is scalable and you don t have to revisit the code	code suggestion
please extract it out to variables this is unnecessarily big	code suggestion
why is this required ?	questioning
mutating the variable is not good can we find another way ?	buggycode suggestion
empty array maybe ?	code suggestion
please fix this	buggycode suggestion
use the key from previous constant	code suggestion
 f ea d fb a f c please explain the logic of this regex or provide the source link here	documentation suggestion
you should ideally be having safe values one for just numeric the other for regex	buggycode suggestion
 f ea d fb a f c do you understand the reduce syntax ? what are the values in it ? did you not use the mdn documentation for array reduce ?	code suggestion
 f ea d fb a f c aren t you doing it for next column ? this is confusing . please explain clearly what is being done here . .	questioning
 f ea d fb a f c then extract it to the map level . i didn t mean extract it to the outer most level .	buggycode suggestion
why this special check ? conditionconfigindex will have the updated index no ?	questioning
 f ea d fb a f c exactly and it should not be mixed	buggycode suggestion
you are not passing cell config here ?	questioning
 f ea d fb a f c please attach the ticket as well	logistics suggestion
shouldn t the default value be true ?	questioning
why if and else the reduce will work irrespective of length . also if there is no condition then it shouldn t even evaluate or come here . correct ?	code suggestion
you can put all the color bgcolor and other variables result here itself . so no need to evaluate multiple times .	code suggestion
why this change ?	questioning
 e a b fe a c ad c you used this variable to keep temporary modified state in project dialog . now this is getting used in other implementation as well . this is a duplicate data of measures and dimensions i .e . selectedmeasures selecteddimensions respectively . in future we will have confusion of which veritable is doing what ! ! ! playground should have only modified i .e . applied state of any data i .e . measures dimensions joins etc . otherwise we should move dialog change states inside respective component .	buggycode suggestion
selectedprojections is the updated list of projections . currently playground is having the applied data for selectedprojections . also in this case selectedprojections is used for reference data . this is not being updated at any level inside columncard properties menu dialog . going forward we will have to keep the respective states for each component . as this is growing too big and debugging will get harder at each point .	code suggestion
 e a b fe a c ad c when we are doing changes in columnpropertiesdialog only that point we have data difference in selectedprojections otherwise it s a same duplicate data combining measures dimensions . we have to remove selectedprojections from playground . else somewhere we will use selectedprojections and somewhere selectedmeasures and selecteddimensions f ea d fb a f c please do don t use selectedprojections here use selectedmeasures selecteddimensions based of type 	buggycode suggestion
 b e e c c bb f okay understood basically getting the same source of truth everywhere and using that . . instead of creating confusion . f ea d fb a f c please note and implement accordingly	code suggestion
 f ea d fb a f c as discuss use icons from the library . we don t need this here .	buggycode suggestion
can t we create a variable like const symbolmap cellconfigurations symbols list .arrow upward arrowupwardoutlinedicon cellconfigurations symbols list .arrow downward arrowdownoutlinedicon . 	code suggestion
don t we need outlined icon ?	questioning
 styledcell 	code suggestion
