commentText	commentClassification
can we move the comment to top of the lines of the code . just a suggestion .	REFACTORING_SUGGESTION
verify that sms consumer factory has been called same with solutions	COMPLETENESS_SUGGESTION
we should think of migration script after discussion with product team ketan . ideally we should give permission dashboard share to all roles which are currently having dashboard download permission .	LOGICAL_SUGGESTION
please verify if this works for redshift too ?	COMPLETENESS_SUGGESTION
response should be correct . if invalid request sent .	COMPLETENESS_SUGGESTION
can we rename vl to currentoutlet outlet will help any one understand what it is easily .	SPELLING_SUGGESTION
please get this verified .	COMPLETENESS_SUGGESTION
payment payment details cubes ? app versions ?	QUESTIONING
remove this	REFACTORING_SUGGESTION
 d aae b ea c e f a please block hour slot in my calendar tomorrow as per both of our availability . i wish to discuss use of diy page to build such widgets . let us discuss . please do not merge this until our discussion .	LOGICAL_SUGGESTION
check this before calling startcamera method	CODE_SUGGESTION
also it should like this company id companyid company outlet id companyoutletid 	CODE_SUGGESTION
rename the class name and file name .	SPELLING_SUGGESTION
please update the db version .	LOGISTICS_SUGGESTION
spelling	SPELLING_SUGGESTION
collections .singleton should be outside	CODE_SUGGESTION
 ashish kumar why do we need custom comment . these comments are standard fixed to identify in database that which query is taking a lot of time . do you see a need for custom comments ?	REUSE_SUGGESTION
if the fromorgtype is warehouse why are we using fromoutletid instead of warehouse id ?	BUGGYCODE_SUGGESTION
here indentation should be provided	REFACTORING_SUGGESTION
base variable can be changed by user which shouldn t be done please remove this and and ?php echo this webroot ? where ever necessary .	CODE_SUGGESTION
is backend not supplying this info ? aaf e a d e b c d d db f ea d fb a f c 	QUESTIONING
please investigate this . all the other components are using it and it s applying successfully . i m not accepting an inline styling	BUGGYCODE_SUGGESTION
format the code .	REFACTORING_SUGGESTION
i have rebased and updated the branch with a ping pong query	LOGISTICS_SUGGESTION
please check for space after comma 	REFACTORING_SUGGESTION
 d dbd ea c c f b for the point the code cluttering refers to keeping many things together . the remaining points help in the clarification . i understand that the code style is not working in your local intellij which is okay for now but please do fix it when you can .	REFACTORING_SUGGESTION
please get it verified and update pr will merge after verification .	COMPLETENESS_SUGGESTION
what does the variable mean ?	SPELLING_SUGGESTION
remove unnecessory extend of basedata	REFACTORING_SUGGESTION
you can use verifyzerointeractions	CODE_SUGGESTION
use constant variable please	BUGGYCODE_SUGGESTION
please use brackets for single if line .	REFACTORING_SUGGESTION
we shouldn t be doing testing in this fashion . ideally this is testing widgetorgutils gethierarchysubqueries . so we should get the actual expected values instead of doing of a replacement . otherwise this is not a clean test case as our test case also contains logic which we aren t testing	BUGGYCODE_SUGGESTION
alignment plz use tabs not spaces .	REFACTORING_SUGGESTION
please add pickerranges 	BUGGYCODE_SUGGESTION
if it s empty can be removed right ? please check .	REFACTORING_SUGGESTION
do you think we should use screen inside a loop within a page ? is it the purpose of the screen content footer layout component ?	CODE_SUGGESTION
query is required here also .	COMPLETENESS_SUGGESTION
same here replace native query with jparepository api .	CODE_SUGGESTION
 cdaaddc c d b e don t remove this line .	REFACTORING_SUGGESTION
plz handle not empty one here for configure which above .	CODE_SUGGESTION
this is wrong if column exist then you are ignoring if column not exist then you are modifiyng .	BUGGYCODE_SUGGESTION
please add recursive 	CODE_SUGGESTION
please ask atul sir . he have dynamic width and hieght in percent can give .	REUSE_SUGGESTION
set the values by using mdata	CODE_SUGGESTION
 const loaderbanners props or const loaderbanners height 	CODE_SUGGESTION
i believe if we provide separate field for label aliases it will be better . let me know your thoughts . 	LOGICAL_SUGGESTION
please update	COMPLETENESS_SUGGESTION
please use stringutils .isempty methods for this .	BUGGYCODE_SUGGESTION
is this correct ?	QUESTIONING
i hope you have checked this functionality thoroughly	COMPLETENESS_SUGGESTION
use recursive here . .	CODE_SUGGESTION
correct indentation .	REFACTORING_SUGGESTION
remove unnecessary tabs .	REFACTORING_SUGGESTION
can t we solve like this padding spacing 	CODE_SUGGESTION
 ffc ed dbf da ae we can rename it as const showassignedstatus setshowassignedstatus usestate false 	CODE_SUGGESTION
we must avoid this hardcoding !	BUGGYCODE_SUGGESTION
i think line handles this case . it is called from this one place only . although we should handle it here too . 	CODE_SUGGESTION
check the way of calling get methods here .	CODE_SUGGESTION
extras can be null here . will the current code handle nullpointerexception ?	QUESTIONING
as discussed over call we will come up solution with all the browser and review this again . fyi aaf e a d e b c d d db f ea d fb a f c 	LOGICAL_SUGGESTION
fix indentation .	REFACTORING_SUGGESTION
 ffc ed dbf da ae i think we had a demo on this and how should we handle . as i showed on the last demo we need to use layout components .	BUGGYCODE_SUGGESTION
 abb bafca a e c because in case of multiarea they want multiple area . in single area setting it s not required because it s auto selected warehouse but in case of multiarea they need multiple warehouse so that they can intersact based on user and outlet area mapped . 	LOGICAL_SUGGESTION
 usergrids .map usergrids . . . 	CODE_SUGGESTION
 a e a f b e d d ed e i have reviewed wip added home page pr some of the points i kept is as todo because we are early stage of app development . you and i keep node of todo work on this . . remove wip tag . . rebase with master and merge ps . this pr is approved with some todo task .	COMPLETENESS_SUGGESTION
me and kumar did not touch that part as it was being utilised in two places . even if we have handled it in dateutils we would have required to handle it here too as dateutils function return localdate object .	LOGICAL_SUGGESTION
remove if not using	REFACTORING_SUGGESTION
please use camelcasing for the variables	SPELLING_SUGGESTION
allow it to pass ?	QUESTIONING
 e a b fe a c ad c if report download only reports downloads does backend sends error empty array ?	QUESTIONING
 ab a a fcf f progress not required ? then why do we need thread ?	QUESTIONING
same here please merge the query .	LOGISTICS_SUGGESTION
user .frequency is missing user .pjpstartdate ! is missing	BUGGYCODE_SUGGESTION
 f ea d fb a f c try to create new array reference instead of mutating the same object reference . here you are updating selected joins by modifying the exiting array i .e . object before calling onchangejoins . it s not a best practice . const handleremovejoin onchangejoins . . . joins .slice reference to read array .prototype .splice array .prototype .slice 	CODE_SUGGESTION
what are we trying to do window .outerwidth ? 	QUESTIONING
plz change this to debug .	CODE_SUGGESTION
remove inline styling	BUGGYCODE_SUGGESTION
that is fine when i apply userhierarchy on some widgets then that also fails . even though it s there in supported filter . widget trend of mbo	BUGGYCODE_SUGGESTION
move it to create table command refer arswarehousedetails .sql	CODE_SUGGESTION
 f ea d fb a f c that s the default behaviour . what s the expected behaviour by the product ?	QUESTIONING
please create a factory class instead of ccalling the base class here . you can take reference from sms consumer service .	BUGGYCODE_SUGGESTION
sendresponse function sends array response also keep return to json by default . you can skip returns .	CODE_SUGGESTION
try to get string literal from strings .xml	BUGGYCODE_SUGGESTION
planned for qa then we do merge .	LOGISTICS_SUGGESTION
looks alright to me please get this tested thoroughly and make sure no other deletes are getting impacted . please check for subquery level as well	COMPLETENESS_SUGGESTION
will this have an impact on other places where same object is being used ?	QUESTIONING
 b dfc e b aaff please use settingfromname instead of companysettings	SPELLING_SUGGESTION
please rename the values inside reduce this is not how reduce variables are named .	BUGGYCODE_SUGGESTION
can we put brackets for readability ?	REFACTORING_SUGGESTION
keep this enums inside paymentgateway screens ngenius because this is very specific ngenius .	CODE_SUGGESTION
incorrect way of handling it have you tested this it should be something like precondition precondition ! null ? precondition .and joinconditions .convertexpression dslcontext token widgetdatafetchercontext joinconditions .convertexpression dslcontext token widgetdatafetchercontext 	BUGGYCODE_SUGGESTION
please format query . and set default values if not null .	REFACTORING_SUGGESTION
this is inefficient . for any multiple large attachments you are going to download all of them here and then check the file size . this will slow down your consumer heavily . please refactor . couple of suggestions . use the metadata object to see if we can use the file size for each attachment . . you can use the notification producer to set the vendor based on the filesize . please explore these options and refactor accordingly . 	BUGGYCODE_SUGGESTION
why we are hardcoding like this ? this is not recommended .	BUGGYCODE_SUGGESTION
remove commented line	REFACTORING_SUGGESTION
i believe current points to the created date . is that unique enough ? is there no other parameter that can be considered as unique ?	BUGGYCODE_SUGGESTION
if possible pls make twilio as configurable . as twilio is a temporary vendor post new release for kenya local vendor will be enabled . same for below file also	LOGICAL_SUGGESTION
not using need to remove it .	BUGGYCODE_SUGGESTION
please get it verified and update the pr .	COMPLETENESS_SUGGESTION
 apiresponse this same name is used many times may lead to some confusion can u please add some meta info to the name like abcapiresponse 	CODE_SUGGESTION
i think its better to write some meta info in the log or can use error codes info codes if the term refreshed is generic .	CODE_SUGGESTION
can we move it . . constants ?	CODE_SUGGESTION
use react .fragment instead of looks bad 	CODE_SUGGESTION
can we keep this empty ? as this will create a dummy entry city name in cities table .	LOGICAL_SUGGESTION
 e a b fe a c ad c can we document with comments ?	DOCUMENTATION_SUGGESTION
please use brackets for single line if conditions also .	REFACTORING_SUGGESTION
please remove if it s not being used	REFACTORING_SUGGESTION
please use tab for indentations .	REFACTORING_SUGGESTION
this is discussed with vidya and solution is correct . but please add it in all possible places and mobile api as well .	COMPLETENESS_SUGGESTION
you can keep a object mapper utils class	CODE_SUGGESTION
make sure null is not returned with this bean .	CODE_SUGGESTION
will this not join with roles table ?	QUESTIONING
please delete commented code .	REFACTORING_SUGGESTION
is this method already there in parent ?	QUESTIONING
remove invalid spaces .	REFACTORING_SUGGESTION
please fix identation	REFACTORING_SUGGESTION
master multidistributor branch have fixed . please check and remove if not requried .	REFACTORING_SUGGESTION
update once intimation is done we don t want to fall in a situation where customer will come with structure changes issues .	COMPLETENESS_SUGGESTION
please use isset 	CODE_SUGGESTION
can we group empty and !empty as conditions so readability will be good	REFACTORING_SUGGESTION
 f ea d fb a f c what if one of them is passed ?	QUESTIONING
 f ea d fb a f c if i have edited the basetable to a simple table . how will this work ?	BUGGYCODE_SUGGESTION
after following above comments . changes at config level will be as follows export const threedstyles options d enabled isthreed alpha beta depth 	CODE_SUGGESTION
 f ea d fb a f c please explain the logic of this regex or provide the source link here	DOCUMENTATION_SUGGESTION
why development .	LOGISTICS_SUGGESTION
this we have to figure out a way to handle instead of hardcoding in this manner . todo here will help keep track b e e c c bb f 	COMPLETENESS_SUGGESTION
why change const to let here ?	CODE_SUGGESTION
i have added my comments in the other pr . please resolve them	COMPLETENESS_SUGGESTION
this is not correct not thread safe . please fix this .	BUGGYCODE_SUGGESTION
why is refetchquery required like this ? i thought the main idea was to remove the dashboard from the cache . please explain if i m missing something	QUESTIONING
might be needed suggest you don t delete it .	LOGICAL_SUGGESTION
please let s not hardcode use theme .specing 	BUGGYCODE_SUGGESTION
guruji find first type will return only entry .	BUGGYCODE_SUGGESTION
please explain what is the purpose of this paper	QUESTIONING
please remove space and add tabs for alignment .	REFACTORING_SUGGESTION
plesae resolve the conflicts	LOGISTICS_SUGGESTION
can we have some test cases as well ?	COMPLETENESS_SUGGESTION
keep this in costants file import here use .	BUGGYCODE_SUGGESTION
please remove this invalid tag .	REFACTORING_SUGGESTION
 d acaf d bc you can do return collections .singleton in all the files	CODE_SUGGESTION
use this flag on config data view	CODE_SUGGESTION
please remove these hard coding strings . generally we are getting these string literals from strings .xml for other ui aliases .	REFACTORING_SUGGESTION
please use isset where ever you are using array key exists	BUGGYCODE_SUGGESTION
spelling and camelcase	SPELLING_SUGGESTION
 d dbd ea c c f b please guide utkarsh on the changes he needs to do on audit service as well . after this implementation if we use the new vendor then it won t be reflecting in the db .	COMPLETENESS_SUGGESTION
error message ?	REFACTORING_SUGGESTION
we need not merge this data if we move back details can inside pay now button it will be independent .	LOGISTICS_SUGGESTION
getroles function has a join on roles table . role .id managerole .role id we need to check why the data is not coming . please add role .id in function getroles fields array managerole .role id managerole .user id managerole .rolespecificid role .name roletables role .id 	BUGGYCODE_SUGGESTION
can you please throw some light as to why combination of index are being used .	BUGGYCODE_SUGGESTION
 warehouseids is mandatory ! so it should be warehouseids array id 	SPELLING_SUGGESTION
 d dbd ea c c f b i don t see this change	BUGGYCODE_SUGGESTION
please rename the component like informativetooltip	SPELLING_SUGGESTION
can we iterate over the rows here instead of using set extract and array unqiue which will be again loops ?	BUGGYCODE_SUGGESTION
please maintain indentation through out file .	REFACTORING_SUGGESTION
why in historical beat this data is saved ?	QUESTIONING
is the head supported in the apigateway codebase ?	QUESTIONING
 aaf e a d e b c d d db my point was this only what happens to strings like this amount or amount payment jan 	LOGICAL_SUGGESTION
 aaf e a d e b c d d db all other components like line column chart are defined by highcharts library and they handle drilldown in their own way table is something we are handling on our own and in this we are honouring hidden key for drilldown which is available for all other widgets except this one i hope this clarifies your doubt .	LOGICAL_SUGGESTION
please use the variable	BUGGYCODE_SUGGESTION
set target to development	LOGISTICS_SUGGESTION
what is the purpose of this ?	QUESTIONING
 e a b fe a c ad c what was the reason behind removing this slice ?	QUESTIONING
will switching of step and fix the problem ?	QUESTIONING
 margintop spacing 	CODE_SUGGESTION
can t we change appname in config file directly instead of adding under if condition since all the message text is same ? will there be any impact if we do this ?	BUGGYCODE_SUGGESTION
can we convert the spaces to tabs on whichever the lines code changes have been made ?	REFACTORING_SUGGESTION
please fix the spelling here .	SPELLING_SUGGESTION
please confirm the changes few things were merged .	LOGISTICS_SUGGESTION
please get it verified and update pr for merge .	COMPLETENESS_SUGGESTION
why are we not passing the updateduserhierarchymap ? i mentioned about not mutating the original context .	BUGGYCODE_SUGGESTION
please get it verified and update pr will merge after verification .	COMPLETENESS_SUGGESTION
why removed save status ? now this might fetch all type of saved status data . ? ? ? ?	QUESTIONING
please fix the conflict .	LOGISTICS_SUGGESTION
better to use the custom widget constants	CODE_SUGGESTION
use fall back .	CODE_SUGGESTION
please use space after and before 	REFACTORING_SUGGESTION
use string literals from strings .xml instead of hard coding .	BUGGYCODE_SUGGESTION
we might have to improve this going forward get in for loop is bad .	BUGGYCODE_SUGGESTION
why hardcoded string is in img src ?	BUGGYCODE_SUGGESTION
please use isset 	CODE_SUGGESTION
why not generic uploadresponse ?	CODE_SUGGESTION
please correct indentation by using tabs	REFACTORING_SUGGESTION
do not hardcode ! please use theme .radius 	BUGGYCODE_SUGGESTION
if there is no action on a widget then also checkbox will be visible ?	QUESTIONING
cell symbol should only be handled by ui no need for backend . arrow or star column symbol might be kept as enum . eg . text progress bar etc which will come in future 	CODE_SUGGESTION
make it rerunnnable by setting default value	BUGGYCODE_SUGGESTION
please get this verified and update the pr once verified .	COMPLETENESS_SUGGESTION
throw exception so that failure can be captured in log db	CODE_SUGGESTION
can we add !empty check for gstinno as it matches empty strings also here .	BUGGYCODE_SUGGESTION
please revert to null . as we have added foreign key .	CODE_SUGGESTION
correct indentaiton	REFACTORING_SUGGESTION
please get it verified and update pr for merge .	COMPLETENESS_SUGGESTION
cannot be added . . this will expose the api and also bring it under authentication flow . from what i understood this is supposed to be an internal api bypassing the auth flow . hence should be exposed as rest api without the preauthorize annotation .	BUGGYCODE_SUGGESTION
improper indentation	REFACTORING_SUGGESTION
please use space before and after 	REFACTORING_SUGGESTION
why is company id being used here ?	QUESTIONING
update status of this bug	LOGISTICS_SUGGESTION
try to swap the condition it will be better .	LOGICAL_SUGGESTION
 f ea d fb a f c i don t think cross checking is required once you change the subquery table then when you go back to playground level a new call is made . your source of truth will be updated . now if your source of truth does not contain the old projection then it will not show ? shouldn t this be the scenario ? please check against this . this would remove unnecessary adding to the projections .	COMPLETENESS_SUGGESTION
why public ?	BUGGYCODE_SUGGESTION
i think typographyprops is handling read and unread condition . let it be . whatever variant we want to typography pass it directly .	CODE_SUGGESTION
not required	LOGICAL_SUGGESTION
use shared preference util class here	REUSE_SUGGESTION
code formattting .	REFACTORING_SUGGESTION
please resolve conflict .	LOGISTICS_SUGGESTION
please add check for primary and secondary van sale	CODE_SUGGESTION
are we using the index ?	QUESTIONING
 e a b fe a c ad c looks good to me . please confirm is backend providing the datatype as hyperlink ?	COMPLETENESS_SUGGESTION
why is the boolean value not being passed ?	QUESTIONING
why are we doing this ? also what will this return ?	QUESTIONING
i think both will be same . just check sql log is there any difference in query	LOGICAL_SUGGESTION
what the use of the box here ?	QUESTIONING
add override public conditionselectortype selectortype return none override public integer numplaceholders return 	CODE_SUGGESTION
if non of basedata class method required to ovverride then why required to extent that class ?	QUESTIONING
remove the empty if condition .	REFACTORING_SUGGESTION
please fill values	SPELLING_SUGGESTION
the if blocks are repeated here and in edit . . can we not move it to some private method . also stringutils of wrong lib has been picked .	BUGGYCODE_SUGGESTION
 abb bcbc aa d in some cases it came string 	BUGGYCODE_SUGGESTION
 ffc ed dbf da ae one suggestion for infinite scroll . keep the loader component at the bottom of the page instead of the top	LOGICAL_SUGGESTION
correct indentation . for whole block of code .	REFACTORING_SUGGESTION
not addressed	COMPLETENESS_SUGGESTION
getoutletcategoryidbyerpids we already have this function can we alter the same to achieve what we need ?	CODE_SUGGESTION
reformat the code .	REFACTORING_SUGGESTION
 r .selectedvalues .map	CODE_SUGGESTION
why this condition is twice ?	BUGGYCODE_SUGGESTION
nikhil please declare a variable instead of using ternary operator in response data . because it is not good practice and code readability issue will be there .	BUGGYCODE_SUGGESTION
 f ea d fb a f c i don t see any usage of these classes i .e . input and cardroot 	CODE_SUGGESTION
please check test cases	COMPLETENESS_SUGGESTION
 color black ?	QUESTIONING
get the value domainurl and assign it here directly to local variable domainurl 	CODE_SUGGESTION
looks good to me . f ea d fb a f c i hope you have considered the different tagged config variants and accordingly provided for the same even if it s not currently implemented .	COMPLETENESS_SUGGESTION
please create the forienkeys and add the validation of value otherwise it will create a problem .	BUGGYCODE_SUGGESTION
can we use isset tokens just to be sure ?	CODE_SUGGESTION
did you test this out ?	COMPLETENESS_SUGGESTION
here since we are fetching globaloutletid from the outlet service . so as per my view need to handle the case if outlet service returns already existing globaloutletid in the api . cdaaddc c d b e 	LOGICAL_SUGGESTION
 verified	LOGISTICS_SUGGESTION
please rename the file . there is a spelling mistake	SPELLING_SUGGESTION
we can do this using .map on array and put one array like tooltip messages dimensions measures tableselector kind of	CODE_SUGGESTION
indentation has been changed	REFACTORING_SUGGESTION
this formatting is wrong . and no change in this file ?	BUGGYCODE_SUGGESTION
please resolve conflict .	LOGISTICS_SUGGESTION
remove commented lines	REFACTORING_SUGGESTION
both cases query would be same . we can remove if condition .	CODE_SUGGESTION
 b e e c c bb f please check this change for !important part . i m okay for the remaining changes in the pr	CODE_SUGGESTION
separate comment and code lines	REFACTORING_SUGGESTION
should the complete cart be cancelled or only that particular cart item ?	QUESTIONING
qa verified 	LOGISTICS_SUGGESTION
variable naming .	SPELLING_SUGGESTION
here for sequence also required first order by visible then order by sequence ? 	CODE_SUGGESTION
 e a b fe a c ad c remove this chip css you are not using in this componenet	REFACTORING_SUGGESTION
please get it verified and update pr will merge once verified .	COMPLETENESS_SUGGESTION
 f ea d fb a f c we should rename this file as advancedanalysisdialog 	SPELLING_SUGGESTION
why this file changed ?	QUESTIONING
use isset instead of array key exists .	CODE_SUGGESTION
please check for order username and not for order user	BUGGYCODE_SUGGESTION
approving and merging as it s a valid fix the check of inventory is there for each sale which is very valid to have without which the checkavailableinventory will fail .	BUGGYCODE_SUGGESTION
please don t hardcode . user theme .spacing 	BUGGYCODE_SUGGESTION
please get it verified and update the pr will merge after update .	COMPLETENESS_SUGGESTION
remove commented styling	REFACTORING_SUGGESTION
why not adding addslashes in valuesexploded 	BUGGYCODE_SUGGESTION
please fix all indentation errors please use tabs for indentation use spaces for and brackets even if the if condition is single line please use brackets 	REFACTORING_SUGGESTION
please use response result and response reason redeclaring is not a good practise .	BUGGYCODE_SUGGESTION
also the aliases should be driven from the projections right ? instead of dimensions ? please get clarity on this during the standup	QUESTIONING
can we make this query re executeble to avoid duplication of data or to avoid unique key constraint errors ?	BUGGYCODE_SUGGESTION
what is use of this .	QUESTIONING
we can use the annotations at class level itself . also you can use data annotation	CODE_SUGGESTION
