,commentText,commentClassification,length
58,don t use tree shaking here as it will pull in all unused modules . please refer to this doc ,buggycode suggestion,93
59,please add discription also .,documentation suggestion,29
61,don t do any change .,logical suggestion,21
62,warehousetype id we need to fetch the outlettype which is not a mapping to warehousetype .,logical suggestion,90
63,please change to ri or rqa or dev .,logistics suggestion,35
64,please correct indentation .,refactoring suggestion,28
65,i think there is an .isempty check . please try to use that,reuse suggestion,59
66,if already updated company then what you do ?,questioning,45
68,you should ideally be having safe values one for just numeric the other for regex,buggycode suggestion,81
70,please remove exclamation mark here it s unnecessary !,buggycode suggestion,54
72,dashboardtype .get should suffice,code suggestion,33
73,this changes are not required please revert .,buggycode suggestion,45
74,do you need this for drill down query ?,questioning,39
75,remove this,refactoring suggestion,11
76,why do you need this function ?,questioning,31
77,can we import stringutils at the top ?,code suggestion,38
78,alias is mandatory,code suggestion,18
79,use even if single single of if .,refactoring suggestion,33
80,can we use existing dialog method ?,reuse suggestion,35
81,what if outlet is mapped to many areas ?,questioning,40
82,set target to development,logistics suggestion,25
85,please get it verified and update pr will merge once verified .,completeness suggestion,63
86,it already read data then again read is multiple time . make use or already read data .,logical suggestion,87
87,why is the default value an empty object ?,buggycode suggestion,42
89, f ea d fb a f c we don t need to send null value,code suggestion,49
90,if pre condition is null ?,questioning,26
91,add loge here also,code suggestion,18
93,correct indentation .,refactoring suggestion,21
94,fix indentation .,refactoring suggestion,17
95,remove commented code .,refactoring suggestion,23
96,use constant variable please,buggycode suggestion,28
97,why is this if condition if we aren t making any use of it .,buggycode suggestion,60
98,please use constants for these numbers instead of magic numbers writing in code .,buggycode suggestion,81
99,maintain indentation,refactoring suggestion,20
100,please change the unhidden to display or some positive word .,spelling suggestion,61
101,please try to use the theme object,reuse suggestion,34
102,what we need to do here ?,questioning,25
103,i thinks it should be payments not payment,spelling suggestion,42
104,i do not know about this what is happening here ?,questioning,49
105,if we have fixed source then why cant we use enum ?,buggycode suggestion,51
106,is it desicded now ?,questioning,20
107,please use constants defined in color .xml,buggycode suggestion,42
108,do you think time retry for every single api required ?,logical suggestion,55
110,any update ?,completeness suggestion,12
113,how will this solve deploying it on all companies ?,questioning,51
114,can we move the comment to top of the lines of the code . just a suggestion .,refactoring suggestion,77
115,verify that sms consumer factory has been called same with solutions,completeness suggestion,68
117,please verify if this works for redshift too ?,completeness suggestion,46
118,response should be correct . if invalid request sent .,completeness suggestion,54
119,can we rename vl to currentoutlet outlet will help any one understand what it is easily .,spelling suggestion,89
120,please get this verified .,completeness suggestion,26
121,payment payment details cubes ? app versions ?,questioning,46
122,remove this,refactoring suggestion,11
124,check this before calling startcamera method,code suggestion,44
125,also it should like this company id companyid company outlet id companyoutletid ,code suggestion,80
126,rename the class name and file name .,spelling suggestion,37
127,please update the db version .,logistics suggestion,30
128,spelling,spelling suggestion,8
129,collections .singleton should be outside,code suggestion,40
131,if the fromorgtype is warehouse why are we using fromoutletid instead of warehouse id ?,buggycode suggestion,87
132,here indentation should be provided,refactoring suggestion,35
134,is backend not supplying this info ? aaf e a d e b c d d db f ea d fb a f c ,questioning,76
136,format the code .,refactoring suggestion,17
137,i have rebased and updated the branch with a ping pong query,logistics suggestion,60
138,please check for space after comma ,refactoring suggestion,35
140,please get it verified and update pr will merge after verification .,completeness suggestion,68
141,what does the variable mean ?,spelling suggestion,29
142,remove unnecessory extend of basedata,refactoring suggestion,37
143,you can use verifyzerointeractions,code suggestion,34
144,use constant variable please,buggycode suggestion,28
145,please use brackets for single if line .,refactoring suggestion,40
147,alignment plz use tabs not spaces .,refactoring suggestion,35
148,please add pickerranges ,buggycode suggestion,24
149,if it s empty can be removed right ? please check .,refactoring suggestion,51
151,query is required here also .,completeness suggestion,29
152,same here replace native query with jparepository api .,code suggestion,55
153, cdaaddc c d b e don t remove this line .,refactoring suggestion,41
154,plz handle not empty one here for configure which above .,code suggestion,57
155,this is wrong if column exist then you are ignoring if column not exist then you are modifiyng .,buggycode suggestion,96
156,please add recursive ,code suggestion,21
157,please ask atul sir . he have dynamic width and hieght in percent can give .,reuse suggestion,76
158,set the values by using mdata,code suggestion,29
159, const loaderbanners props or const loaderbanners height ,code suggestion,57
161,please update,completeness suggestion,13
162,please use stringutils .isempty methods for this .,buggycode suggestion,50
163,is this correct ?,questioning,17
164,i hope you have checked this functionality thoroughly,completeness suggestion,53
165,use recursive here . .,code suggestion,22
166,correct indentation .,refactoring suggestion,21
167,remove unnecessary tabs .,refactoring suggestion,25
168,can t we solve like this padding spacing ,code suggestion,41
170,we must avoid this hardcoding !,buggycode suggestion,31
172,check the way of calling get methods here .,code suggestion,43
173,extras can be null here . will the current code handle nullpointerexception ?,questioning,77
175,fix indentation .,refactoring suggestion,17
178, usergrids .map usergrids . . . ,code suggestion,32
181,remove if not using,refactoring suggestion,19
182,please use camelcasing for the variables,spelling suggestion,40
183,allow it to pass ?,questioning,18
184, e a b fe a c ad c if report download only reports downloads does backend sends error empty array ?,questioning,99
185, ab a a fcf f progress not required ? then why do we need thread ?,questioning,66
186,same here please merge the query .,logistics suggestion,34
187,user .frequency is missing user .pjpstartdate ! is missing,buggycode suggestion,58
189,what are we trying to do window .outerwidth ? ,questioning,46
190,plz change this to debug .,code suggestion,26
191,remove inline styling,buggycode suggestion,21
193,move it to create table command refer arswarehousedetails .sql,code suggestion,62
194, f ea d fb a f c that s the default behaviour . what s the expected behaviour by the product ?,questioning,94
197,try to get string literal from strings .xml,buggycode suggestion,43
198,planned for qa then we do merge .,logistics suggestion,33
200,will this have an impact on other places where same object is being used ?,questioning,74
201, b dfc e b aaff please use settingfromname instead of companysettings,spelling suggestion,69
202,please rename the values inside reduce this is not how reduce variables are named .,buggycode suggestion,83
203,can we put brackets for readability ?,refactoring suggestion,37
204,keep this enums inside paymentgateway screens ngenius because this is very specific ngenius .,code suggestion,93
206,please format query . and set default values if not null .,refactoring suggestion,58
208,why we are hardcoding like this ? this is not recommended .,buggycode suggestion,59
209,remove commented line,refactoring suggestion,21
212,not using need to remove it .,buggycode suggestion,29
213,please get it verified and update the pr .,completeness suggestion,42
216,can we move it . . constants ?,code suggestion,30
217,use react .fragment instead of looks bad ,code suggestion,41
218,can we keep this empty ? as this will create a dummy entry city name in cities table .,logical suggestion,86
219, e a b fe a c ad c can we document with comments ?,documentation suggestion,50
220,please use brackets for single line if conditions also .,refactoring suggestion,56
221,please remove if it s not being used,refactoring suggestion,36
222,please use tab for indentations .,refactoring suggestion,33
224,you can keep a object mapper utils class,code suggestion,40
225,make sure null is not returned with this bean .,code suggestion,47
226,will this not join with roles table ?,questioning,37
227,please delete commented code .,refactoring suggestion,30
228,is this method already there in parent ?,questioning,40
229,remove invalid spaces .,refactoring suggestion,23
230,please fix identation,refactoring suggestion,21
231,master multidistributor branch have fixed . please check and remove if not requried .,refactoring suggestion,85
233,please use isset ,code suggestion,17
234,can we group empty and !empty as conditions so readability will be good,refactoring suggestion,71
235, f ea d fb a f c what if one of them is passed ?,questioning,48
236, f ea d fb a f c if i have edited the basetable to a simple table . how will this work ?,buggycode suggestion,88
238, f ea d fb a f c please explain the logic of this regex or provide the source link here,documentation suggestion,87
239,why development .,logistics suggestion,17
241,why change const to let here ?,code suggestion,30
242,i have added my comments in the other pr . please resolve them,completeness suggestion,62
243,this is not correct not thread safe . please fix this .,buggycode suggestion,55
245,might be needed suggest you don t delete it .,logical suggestion,45
246,please let s not hardcode use theme .specing ,buggycode suggestion,45
247,guruji find first type will return only entry .,buggycode suggestion,47
248,please explain what is the purpose of this paper,questioning,48
249,please remove space and add tabs for alignment .,refactoring suggestion,48
250,plesae resolve the conflicts,logistics suggestion,28
251,can we have some test cases as well ?,completeness suggestion,37
252,keep this in costants file import here use .,buggycode suggestion,44
253,please remove this invalid tag .,refactoring suggestion,32
254, d acaf d bc you can do return collections .singleton in all the files,code suggestion,70
255,use this flag on config data view,code suggestion,33
257,please use isset where ever you are using array key exists,buggycode suggestion,58
258,spelling and camelcase,spelling suggestion,22
260,error message ?,refactoring suggestion,15
263,can you please throw some light as to why combination of index are being used .,buggycode suggestion,79
264, warehouseids is mandatory ! so it should be warehouseids array id ,spelling suggestion,67
265, d dbd ea c c f b i don t see this change,buggycode suggestion,41
266,please rename the component like informativetooltip,spelling suggestion,51
268,please maintain indentation through out file .,refactoring suggestion,46
269,why in historical beat this data is saved ?,questioning,43
270,is the head supported in the apigateway codebase ?,questioning,50
273,please use the variable,buggycode suggestion,23
274,set target to development,logistics suggestion,25
275,what is the purpose of this ?,questioning,29
276, e a b fe a c ad c what was the reason behind removing this slice ?,questioning,67
277,will switching of step and fix the problem ?,questioning,44
278, margintop spacing ,code suggestion,19
280,can we convert the spaces to tabs on whichever the lines code changes have been made ?,refactoring suggestion,86
281,please fix the spelling here .,spelling suggestion,30
282,please confirm the changes few things were merged .,logistics suggestion,51
283,please get it verified and update pr for merge .,completeness suggestion,48
285,please get it verified and update pr will merge after verification .,completeness suggestion,68
286,why removed save status ? now this might fetch all type of saved status data . ? ? ? ?,questioning,86
287,please fix the conflict .,logistics suggestion,25
288,better to use the custom widget constants,code suggestion,41
289,use fall back .,code suggestion,15
290,please use space after and before ,refactoring suggestion,34
291,use string literals from strings .xml instead of hard coding .,buggycode suggestion,62
292,we might have to improve this going forward get in for loop is bad .,buggycode suggestion,68
293,why hardcoded string is in img src ?,buggycode suggestion,36
294,please use isset ,code suggestion,17
295,why not generic uploadresponse ?,code suggestion,32
296,please correct indentation by using tabs,refactoring suggestion,40
297,do not hardcode ! please use theme .radius ,buggycode suggestion,43
298,if there is no action on a widget then also checkbox will be visible ?,questioning,70
300,make it rerunnnable by setting default value,buggycode suggestion,44
301,please get this verified and update the pr once verified .,completeness suggestion,58
302,throw exception so that failure can be captured in log db,code suggestion,57
303,can we add !empty check for gstinno as it matches empty strings also here .,buggycode suggestion,75
304,please revert to null . as we have added foreign key .,code suggestion,54
305,correct indentaiton,refactoring suggestion,19
306,please get it verified and update pr for merge .,completeness suggestion,48
308,improper indentation,refactoring suggestion,20
309,please use space before and after ,refactoring suggestion,34
310,why is company id being used here ?,questioning,35
311,update status of this bug,logistics suggestion,25
312,try to swap the condition it will be better .,logical suggestion,45
314,why public ?,buggycode suggestion,12
316,not required,logical suggestion,12
317,use shared preference util class here,reuse suggestion,37
318,code formattting .,refactoring suggestion,18
319,please resolve conflict .,logistics suggestion,25
320,please add check for primary and secondary van sale,code suggestion,51
321,are we using the index ?,questioning,24
323,why is the boolean value not being passed ?,questioning,43
324,why are we doing this ? also what will this return ?,questioning,52
325,i think both will be same . just check sql log is there any difference in query,logical suggestion,79
326,what the use of the box here ?,questioning,30
328,if non of basedata class method required to ovverride then why required to extent that class ?,questioning,94
329,remove the empty if condition .,refactoring suggestion,31
330,please fill values,spelling suggestion,18
332, abb bcbc aa d in some cases it came string ,buggycode suggestion,44
334,correct indentation . for whole block of code .,refactoring suggestion,47
335,not addressed,completeness suggestion,13
337,reformat the code .,refactoring suggestion,19
338, r .selectedvalues .map,code suggestion,23
339,why this condition is twice ?,buggycode suggestion,29
341, f ea d fb a f c i don t see any usage of these classes i .e . input and cardroot ,code suggestion,82
342,please check test cases,completeness suggestion,23
343, color black ?,questioning,14
344,get the value domainurl and assign it here directly to local variable domainurl ,code suggestion,80
346,please create the forienkeys and add the validation of value otherwise it will create a problem .,buggycode suggestion,97
347,can we use isset tokens just to be sure ?,code suggestion,41
348,did you test this out ?,completeness suggestion,23
350, verified,logistics suggestion,9
351,please rename the file . there is a spelling mistake,spelling suggestion,52
353,indentation has been changed,refactoring suggestion,28
354,this formatting is wrong . and no change in this file ?,buggycode suggestion,55
355,please resolve conflict .,logistics suggestion,25
356,remove commented lines,refactoring suggestion,22
357,both cases query would be same . we can remove if condition .,code suggestion,61
359,separate comment and code lines,refactoring suggestion,31
360,should the complete cart be cancelled or only that particular cart item ?,questioning,73
361,qa verified ,logistics suggestion,12
362,variable naming .,spelling suggestion,17
363,here for sequence also required first order by visible then order by sequence ? ,code suggestion,80
364, e a b fe a c ad c remove this chip css you are not using in this componenet,refactoring suggestion,76
365,please get it verified and update pr will merge once verified .,completeness suggestion,63
366, f ea d fb a f c we should rename this file as advancedanalysisdialog ,spelling suggestion,70
367,why this file changed ?,questioning,23
368,use isset instead of array key exists .,code suggestion,39
369,please check for order username and not for order user,buggycode suggestion,54
371,please don t hardcode . user theme .spacing ,buggycode suggestion,44
372,please get it verified and update the pr will merge after update .,completeness suggestion,66
373,remove commented styling,refactoring suggestion,24
374,why not adding addslashes in valuesexploded ,buggycode suggestion,44
376,please use response result and response reason redeclaring is not a good practise .,buggycode suggestion,83
379,what is use of this .,questioning,21
380,we can use the annotations at class level itself . also you can use data annotation,code suggestion,83
381,default value in db for is active is hence approving and no validation of columns in model file . ,completeness suggestion,98
382,need back merge .,logistics suggestion,17
384, feee a b d e f sir if this is working fine please merge . ,logistics suggestion,59
385,avoid db call on main thread ?,buggycode suggestion,30
386, const handleexport . . . ,code suggestion,26
387,why these steps ?,questioning,17
388,this is a default value should it be an object ?,questioning,48
389,better to make it apply bcoz not saving ,spelling suggestion,40
390,why we have commented this condition ?,questioning,38
391,please explain it .,questioning,19
392,please get it verified and update pr for merge .,completeness suggestion,48
394,remove this line .,refactoring suggestion,18
395,space before and after space after and before .,refactoring suggestion,47
396,probably have to do somewhat reverse of getting the userids under the given users .,logical suggestion,83
397,planned for qa then we merge .,logistics suggestion,30
398,please get it verified and update pr for merge .,completeness suggestion,48
399, export const ledgers ledgers ,code suggestion,30
400,what exactly is happening here ?,questioning,32
401,not getting why changing pjpstartdate if not calculationg noofdays it will have issue na .,questioning,90
402,is this required ?,questioning,18
403,space after comma ,refactoring suggestion,18
404, props .theme .spacing is not correct for line height . please use typography properties .,code suggestion,90
405,fix indentation .,refactoring suggestion,17
407,please check .,completeness suggestion,14
408,please use spaces for and brackets .,refactoring suggestion,36
409,can i know the reason for adding null condition for user .username,questioning,66
411,space after ! ,refactoring suggestion,14
414,how will this part help ?,questioning,25
416,a small suggestion . this datetimeformatter can be set as a static variable,refactoring suggestion,75
417,check once i think alreday exist,completeness suggestion,32
418,please raise the same changes to release branch,logistics suggestion,47
419,format the code .,refactoring suggestion,17
420,please add the version to the main pom . all the modules should be using the same versions,code suggestion,90
421,please resolve conflicts .,logistics suggestion,26
422,please replace android .support items with androidx ,spelling suggestion,52
423,move it to create table command refer arswarehousedetails .sql,code suggestion,62
425,please use after sql query,code suggestion,26
427,i have created helper function for sale template this is loadsheet so we cant use it here,reuse suggestion,89
428,please resolve the conflict ,logistics suggestion,28
429,can remove this,refactoring suggestion,15
430,correct indentation . use single tabs,refactoring suggestion,37
433,where is this used ?,questioning,20
434,please get it verified and update the pr once verified,completeness suggestion,54
435,tds is in ri branch and invoice is for master .,logistics suggestion,47
436,looks good to me b e e c c bb f please check it on your end,completeness suggestion,59
437, no entry sign build is failing on this pr please look into it .,buggycode suggestion,64
438,allowing it to pass ?,questioning,21
440,avoid dual tabs,refactoring suggestion,15
441,remove comment if it s not required,refactoring suggestion,35
442, f ea d fb a f c why we are doing hardcoding ? this is not recommended .,buggycode suggestion,72
444,resolve conflicts .,logistics suggestion,19
447,why are we using span ?,questioning,23
448,please correct indentation,refactoring suggestion,26
449,please resolve conflict .,logistics suggestion,25
450,function name should camelcase !,spelling suggestion,32
451,formatting is in correct .,refactoring suggestion,26
452,resolve conflict .,logistics suggestion,18
453, e a b fe a c ad c there are conflicts please resolve,logistics suggestion,53
456,can we show the genericformdatanew have zero index used or not .,code suggestion,64
458,don t hardcode,buggycode suggestion,14
459,alter the mimetype according to attachment,code suggestion,42
460,please open a bug to remove this load model and connect it by linking models .,logistics suggestion,78
461,can we also control it on server side while saving it .,logical suggestion,55
462,move this in syncactivity . because not using anywhere else,code suggestion,59
464,mainatain idenatation and check for suffixtosalereturnno ,code suggestion,57
465,please get it verified and update the pr once verified .,completeness suggestion,56
466,use the key from previous constant,code suggestion,34
467,remove commented lines .,refactoring suggestion,24
468,here if loop the batchid will reset or not . check .,completeness suggestion,52
469,merging as this is simple change .,logistics suggestion,34
470,fix indentation .,refactoring suggestion,17
471,why are we using transporters word here ?,questioning,41
472,remove invalid spaces .,refactoring suggestion,23
474,please correct function name,spelling suggestion,28
475,make id subquery data view failure ,code suggestion,35
476, bugs code in same branch please fix and push the required code only .,logistics suggestion,70
478,the code is duplicated can we write the function in one model and call it ?,buggycode suggestion,75
479,correct indentation .,refactoring suggestion,21
480,if it optional please put a default value,buggycode suggestion,41
481,should it be and or condition ?,buggycode suggestion,31
483,why is this needed ?,questioning,20
484,remove unnecessary lines,refactoring suggestion,24
485,correct indentation .,refactoring suggestion,21
486,please get it verified and update pr for merge .,completeness suggestion,48
487,maintain the indentation,refactoring suggestion,24
488,you can use includes,code suggestion,20
489,please change to not condition,code suggestion,30
490,master multidistributor branch have fixed . please check and remove if not requried .,refactoring suggestion,85
491,alignment plz use tabs not spaces .,refactoring suggestion,35
493, e a b fe a c ad c have we tested this widget on redshift server ?,completeness suggestion,66
494,update database version also,logistics suggestion,28
495,remove invalid tab in last .,refactoring suggestion,28
496, e a b fe a c ad c have you any reference link for this ? if yes please paste it in this pr .,documentation suggestion,93
497,please don t hard code strings in the code . get it from strings .xml .,buggycode suggestion,71
498,the text doesn t sound read right please get it checked with product,logical suggestion,68
499,why it is removed ?,buggycode suggestion,19
500,if we do not require these themes component then remove it,refactoring suggestion,58
503,please cleanup,refactoring suggestion,14
504,add in eol,refactoring suggestion,10
505, response variable not declared .,buggycode suggestion,33
506,i think we should not use force index . might be . abb ac dcb a ac f please check .,logical suggestion,83
507,please update pr after verification .,completeness suggestion,37
510, onchange . . .updated parentkey updatedvalue ,code suggestion,46
511,you can do ! ! value value .projection value .projection .taggedconfigs would be cleaner i feel,code suggestion,95
514,payment payment details and other cubes having user id column could be a possible join here ?,logical suggestion,93
518,please check if this is still required or not e c a d ,completeness suggestion,54
519, d acaf d bc all comments are not addressed . . .,completeness suggestion,49
520,remove this,refactoring suggestion,11
521,can we maintain the consistency in the spacing here ?,refactoring suggestion,53
522,space after ,refactoring suggestion,12
523,please share query log to check for indexes .,completeness suggestion,45
524,i dont this ui alias required in template because generally templete created hardcoded . check this,logical suggestion,99
525,please get it verified and update pr for merge .,completeness suggestion,48
526,please remove pr command .,refactoring suggestion,26
527,if this key not set then it will give warning na .,buggycode suggestion,50
528,can we fetch the companyid using getcompanyid in company .php ?,reuse suggestion,63
529,please follow camelcasing,spelling suggestion,25
530,please use constants for ,buggycode suggestion,25
531,please use the server date .,refactoring suggestion,28
532,is it intentional ? please recheck once . .,completeness suggestion,43
534,before pushing foreign key please add delete query also to delete invalid entry,code suggestion,79
537,if we don t have any use of this then please remove this .,refactoring suggestion,58
538,please merge after verification . ,completeness suggestion,34
539,order details i don t think capitals will matter at the url level,logical suggestion,65
541,please us tabs from spacing,refactoring suggestion,27
543,use constants,buggycode suggestion,13
544,verified ,logistics suggestion,9
545,we can send the default so no need to check here .,logical suggestion,50
546,kindly make the same changes here too .,completeness suggestion,39
549, abb bcbc aa d i think sql execute the query sequantial,logical suggestion,55
550,here they want schemewithgst or scheme ?,questioning,40
551,what if multiple warehouses are mapped to same user ?,questioning,53
552,this should be done in a separate pr it s not related to this pr,logistics suggestion,64
553,can we make it a list ?,code suggestion,23
555,instead of setting querytype can we pass it in tosqlcomment ?,code suggestion,61
556,this else block can be removed as it s type is already assigned with ,refactoring suggestion,69
557,please use spaces for and brackets .,refactoring suggestion,36
558,please remove the extra tab here .,refactoring suggestion,34
560,this log should not be here . as it s a utility method to know whether sync is active or not .,buggycode suggestion,94
561,this might give null pointer exception,buggycode suggestion,38
562,please update .,completeness suggestion,15
563,can we declare in line ?,questioning,24
564,a simple for loop would help iterate and get the enums faster . this is just a minor optimization .,refactoring suggestion,99
565,please use trim and handle for case sensitive,code suggestion,45
567,it should be now please remove the preceding and succeeding single quote ,refactoring suggestion,73
568,please get it verified and update the pr once verified .,completeness suggestion,56
570,why this change ?,questioning,17
571,please also check if id exists else it s no point of read .,code suggestion,59
572,if quantity given in cases and units then its will store only cases data na .,buggycode suggestion,77
574,please verify and update pr .,completeness suggestion,29
575,since we already have stringutils for this so is this seem unnecessory ? ? ? ?,buggycode suggestion,78
576,please use active orders only while fetching erp ids .,logical suggestion,54
577,check !empty,refactoring suggestion,12
578,please remove the contain where it is difficult to fetch the queries which are prepared .,refactoring suggestion,89
580,are we using this anywehre ? paymentdata salestate id ,code suggestion,54
582,please don t miss to put bug title in pr title .,logistics suggestion,48
583,use tabs for indentation .,refactoring suggestion,26
584,don t we need to check for null on power manager object pm ? please check once .,buggycode suggestion,80
585,use string literals from strings .xml instead of hard coding .,buggycode suggestion,62
586,why is this deleted ?,questioning,21
587,please add alternate string resources for all the supported languages .,code suggestion,71
588,i think we should use isset like above lines .,code suggestion,46
589,please use after sql query,code suggestion,26
590, handlenestedchanges . . .currentprojection key added ,code suggestion,54
591, displaytypeexist please declare .,buggycode suggestion,34
592,please use tabs for indentation do not use space for indentation .,refactoring suggestion,66
593, a b b b c b bca please check for test cases before merging,completeness suggestion,59
594,it should be warehouse .warehouseoutletid,buggycode suggestion,41
595,can we have test cases around this ?,completeness suggestion,36
596,please update pr if this is verified .,completeness suggestion,38
597,please remove the new lines,refactoring suggestion,27
598,remove commented line in between .,refactoring suggestion,34
599,please use isset data districts instead of array key exists reason performance . ,code suggestion,81
600, call of getsettingfromname can be reduced you can add the below call here itself .,code suggestion,83
601, aaf e a d e b c d d db for the last part how is the validity decided ?,questioning,71
603,check the wording with product team once .,spelling suggestion,42
604,please get it verified and update pr for merge .,completeness suggestion,48
606,why cc list is mandatory ?,questioning,26
607,please let s not hardcode use theme .specing ,buggycode suggestion,45
609,why and ? why not labelidx and keyidx ?,questioning,39
610,put it at the class level instead of passing it as param,code suggestion,56
611,please check with company creation code and make necessary changes in bizomsignup as well .,code suggestion,91
612, b e e c c bb f please provide implementation documentation link for this .,logistics suggestion,75
613,why the gaps ?,questioning,14
614,please fix the alignment of the block of code .,refactoring suggestion,47
615,is this checked with app developers also not using in any older version of months old .,completeness suggestion,87
616,please resolve conflict .,logistics suggestion,25
617,please use spacing for padding margin,code suggestion,37
618,please delete commented line,refactoring suggestion,28
619,when ignoreerpidunique is turned on this logic can fail and wrong order might get updated .,buggycode suggestion,91
620, this dependency not required now . we can import gql from apollo client now .,code suggestion,78
621, !empty companysettings unnecessary,refactoring suggestion,35
622,hardcoded strings are not acceptable .,buggycode suggestion,38
625,use createqualifiedfield function,code suggestion,33
626,please remove duplicate code,refactoring suggestion,28
627,eligible for constant ?,questioning,23
628,mdmvalidations should also be deleted .,buggycode suggestion,39
629,this query will return true if any of the api synced is it what we want ?,questioning,73
630,please use gsonutils here .,code suggestion,27
632,get this also in a temp variable to store the data so that we can reuse from the same .,code suggestion,87
633,use list,refactoring suggestion,8
634,why the list is hardcoded .,buggycode suggestion,27
635,if you change the default response type it will effect others if not sent responsetype .,buggycode suggestion,88
636,you can de structure if required,refactoring suggestion,32
637,we can use the ids in orgfilterconstants that will keep only place of change .,logical suggestion,78
638,should be a full stop at the end . also is the text present somewhere like a sheet or something ? ,questioning,98
639,please log it as well,completeness suggestion,21
640,please use addtaskupdate function in taskupdate .php,reuse suggestion,52
641,verified ,logistics suggestion,9
642,refactor the code .,refactoring suggestion,19
644,use constant for ,buggycode suggestion,17
645,if we are not using this props then we can remove .,refactoring suggestion,51
647,remove commented code .,refactoring suggestion,23
649,remove commented code .,refactoring suggestion,23
650, .map e return e response true ,code suggestion,31
651,change function name to reflect what it is doing,spelling suggestion,48
653,create re executable query .,buggycode suggestion,28
654,use showtoast method from baseactivity to show the toast messages .,code suggestion,67
655,this change shouldn t be there ba a e b e eb f c ,logistics suggestion,49
656,is this not a redunant check ?,refactoring suggestion,30
657,what kind of condition is this ?,questioning,32
659,not required,logical suggestion,12
660,if unmerged revision is there please don t raise pr on master .,logistics suggestion,63
661,please add the types,code suggestion,20
662,is there any other way to do this ? we are doing it very badly here and it s not recommended ! ,buggycode suggestion,95
664,check entity type .,code suggestion,19
665,what was the reason of crash ? . .what you did to fix that ?,questioning,60
667,please add in logs for data history that the data was deleted .,code suggestion,63
669,merging as this is simple ui changes .,logistics suggestion,38
670,i think we can remove these todos . this code will be required . please suggest .,logical suggestion,81
671,if default value is empty list then ? is unnecessary .,questioning,54
672, trans add product trans ,code suggestion,25
673,please rename this,spelling suggestion,18
674,please format this file again .,refactoring suggestion,31
675,if we do datable pagination will look same as every where . okk for me . others .,completeness suggestion,81
677,this is if jwt expires ? if so can we not use the token expiry to figure out when to make a call ?,logical suggestion,98
678,why are you checking again here when the same thing is checked in getactionfetcher ?,questioning,84
679,please add condition for company setting for design type .,code suggestion,58
680, !isowner typography color red you don t have permission typography ,code suggestion,68
681, f ea d fb a f c try format data inline card ,logical suggestion,45
682, data inline card duplicate pr .,logistics suggestion,32
683,why delete this ?,questioning,17
684,you can the hash for the download id as that is unique,code suggestion,54
685,correct indentation . use single tab . double tabs used .,refactoring suggestion,57
686,removal of width css property . hence merging .,logistics suggestion,47
687,remove all this commented line,refactoring suggestion,30
688,formatting required .,refactoring suggestion,21
689, e a generic error exception should not be in error code ,code suggestion,57
691,please get it verified by stakeholder as well .,completeness suggestion,47
