,commentText,commentClassification,length
647,remove extra spaces,refactoring suggestion,19
649,please resolve conflicts,logistics suggestion,24
650, e a b fe a c ad c looks good to me . please resolve confict then we can do ahead,logistics suggestion,81
651,can it not be a single fetch instead of lookup and fetch ?,questioning,58
653,verified ticket ,logistics suggestion,16
654,use ,code suggestion,4
656,you can remove this function,refactoring suggestion,28
657,why addall is required ? why not a direct insert to hashset one by one ?,code suggestion,72
658,remove this line,refactoring suggestion,16
659,you can remove this as you are not performing any operation on it,refactoring suggestion,65
661,why is this extra check required ?,questioning,34
663,please check if vehicle id is valid entry as foreign key is added .,code suggestion,67
664,correct indentation .,refactoring suggestion,21
665,why a map as return value ?,questioning,27
668,please fix the alignment,refactoring suggestion,24
669,correct indentation .,refactoring suggestion,21
670,remove commented lines .,refactoring suggestion,24
671, f ea d fb a f c as discuss use icons from the library . we don t need this here .,buggycode suggestion,82
672,use showtoast method and don t use hard coded messages . get it from strings .xml .,buggycode suggestion,83
673,please remove hard coded false .,refactoring suggestion,32
675,if you using specific columns plz add that not .,logical suggestion,48
676,use space after comma ,refactoring suggestion,22
677,please add default values .,buggycode suggestion,27
678,please check for the map data also,code suggestion,34
679,what is this page record size meant for ?,questioning,41
681,please check the feasibility to remove this function and re use the getoutlettype function ,refactoring suggestion,91
682,i didn t understand it ?,questioning,24
683,please get it verified and update pr will merge .,completeness suggestion,49
684, const offset setoffset usestate ,code suggestion,33
685,company id is removed from sql please remove this reference . ,refactoring suggestion,62
686,why we have not reused customtextfield here ?,reuse suggestion,45
687,why this key name r ?,questioning,21
688,exception is enough,logical suggestion,19
689,as request go in gzip so js will not have issue in spaces . for that used to view properly .,logical suggestion,92
690,change variable name,spelling suggestion,20
691,check the filter order numbers .,buggycode suggestion,32
694,please get it verified and update pr for merge .,completeness suggestion,48
695,remove active column from here .,code suggestion,32
696, b dfc e b aaff please update .,completeness suggestion,31
697, a c bb c ee ca f this needs to be looked at,completeness suggestion,44
698,see if this can be converted to hooks format while you are at it,refactoring suggestion,64
699,link this model in user .php and use the link instead of loadmodel .,code suggestion,68
700,remove unnecessory extend of basedata,refactoring suggestion,37
701, aaf e a d e b c d d db is it required ? otherwise please cleanup .,refactoring suggestion,67
702, f ea d fb a f c what s in the table part ?,questioning,43
704,inline styles ! we will not do this !,buggycode suggestion,37
706,a ! of projection field and projection alias can suffice no ?,code suggestion,61
707, b dfc e b aaff please update .,completeness suggestion,31
708,use loge because generaly at this point error occure in live user so it will helpfull for debugging,code suggestion,99
709,change the variable name to something more suitable,spelling suggestion,51
711,please do not hardcode ! make use of theme .spacing ,buggycode suggestion,52
712,can t we use when like switch here instead of for loop ? please check .,logical suggestion,71
